,mls,msp,energy,mahalanobis
mls,0.0,0.11625,0.01625,0.13125
msp,0.11625,0.0,0.1325,0.0725
energy,0.01625,0.1325,0.0,0.1425
mahalanobis,0.13125,0.0725,0.1425,0.0
