,mls,msp,energy,mahalanobis
mls,1.0,0.9482629738483966,0.9981013017207839,0.9069281592627488
msp,0.9482629738483966,1.0,0.9325384258412904,0.9623408942826474
energy,0.9981013017207839,0.9325384258412904,1.0,0.8936984901538909
mahalanobis,0.9069281592627488,0.9623408942826474,0.8936984901538909,1.0
