method,mean_source_accuracy_pct,mean_source_macro_f1_pct,target_accuracy_pct,target_macro_f1_pct,change_vs_source_only_pp,change_vs_original_method_pp,domain_separability_pct,selected_epoch,epochs_run,predicted_classes,dominant_prediction,dominant_share_pct
DANN recovery,92.47180401275563,92.34011357355276,22.295749554594043,12.018789455368461,-46.85670654110461,4.2504454059557135,,13,20,6,horse,57.01196233138203
CDAN recovery,95.72911278695923,95.6229540482445,79.38406719266989,82.85869471207558,10.231611096971239,77.29702214303896,,6,14,7,horse,25.85899720030542
DAN λ=10 recovery,88.58788118287322,88.3398621224531,65.10562484092645,61.762334418340515,-4.04683125477221,61.0333418172563,,5,13,7,person,23.64469330618478
