epoch,train_loss,train_accuracy,mean_val_macro_f1,mean_val_accuracy,mean_val_loss,classification_loss,domain_loss,domain_accuracy,mean_grl_strength,last_grl_strength,mean_alignment_ramp,mean_gradient_norm_before_clip,photo_accuracy,photo_macro_f1,photo_loss,art_painting_accuracy,art_painting_macro_f1,art_painting_loss,cartoon_accuracy,cartoon_macro_f1,cartoon_loss,method,mmd_loss,weighted_mmd_loss
1,0.5215274176064958,0.9957446808510638,0.9446747558681796,0.9466836154515036,0.1959522160305442,0.0149966333051007,0.506530783658332,0.7589539007092199,0.0016466173705436,0.0048793642047368,0.1004255319148935,6.328830795085176,0.9640718562874252,0.9572245749328402,0.1069824002476821,0.946341463414634,0.9429745034446604,0.2475446680696999,0.929637526652452,0.9338251892270388,0.2333295797742506,DANN recovery,,
2,0.4203273755438784,0.9980496453900708,0.949317067486476,0.9488594188190264,0.2192725596003154,0.0051862111585207,0.4151411653199094,0.8093085106382979,0.0110681680800599,0.0184545472770915,0.3004255319148936,5.247442000977537,0.9730538922155688,0.9693893099117448,0.1313194778864969,0.926829268292683,0.9275895516155012,0.2218023633811532,0.9466950959488272,0.9509723409321824,0.304695837533296,DANN recovery,,
3,8.848869831257678,0.9966312056737588,0.9364009273106354,0.9361633174443664,0.2811962154217161,0.0113435737659909,8.83752626713286,0.2201241134751773,0.0279285882106982,0.0380765437016724,0.5004255319148936,135.4211603448746,0.9730538922155688,0.9682698023758142,0.1124183887968357,0.9121951219512195,0.9101009436488864,0.4073697495751264,0.9232409381663113,0.9308320359072056,0.3238005078931861,DANN recovery,,
4,18.036748851613797,0.9801418439716312,0.903699687908698,0.9052892706448356,1.3901594478324266,0.1231594615928124,17.91358938622982,0.3860815602836879,0.0493723690101891,0.0608989138469744,0.7004255319148935,226.901813247356,0.9550898203592816,0.948106634558129,0.6290643641973175,0.8780487804878049,0.8752210561896394,1.7259129594012004,0.8827292110874201,0.8877713729783251,1.8155010198987624,DANN recovery,,
5,41.586249351501465,0.9374113475177304,0.9156025228395144,0.9199130160294108,1.9233971785786803,1.1007984235504416,40.48545092724739,0.4616134751773049,0.072875696659315,0.084805970553009,0.9004255319148936,1026.477576982214,0.9550898203592816,0.9496319900327508,1.318576342822192,0.8878048780487805,0.8810543838494149,2.0206269706167825,0.9168443496801706,0.9161211946363776,2.4309882222970667,DANN recovery,,
6,135.1712025338031,0.8824468085106383,0.7752611176463672,0.7842464636487078,14.27676602077176,5.263198008796796,129.908004476669,0.5195035460992907,0.0878735578398833,0.0905013565452926,1.0,4611.4298061939,0.8802395209580839,0.8567683107247996,4.518112525254667,0.7390243902439024,0.7340685853324519,15.40417391149009,0.7334754797441365,0.7349464568818501,22.90801162557053,DANN recovery,,
7,359.4276513931599,0.8271276595744681,0.759990424175674,0.7722070861656997,21.107087510002938,13.547381223724416,345.8802706454663,0.4273936170212766,0.092462499526532,0.0941296770623398,1.0,13018.387895819482,0.8712574850299402,0.8515510938107502,9.280322503186984,0.7097560975609756,0.7027466560060756,21.648675016077554,0.7356076759061834,0.7256735227101964,32.39226501074427,DANN recovery,,
8,461.5115339563248,0.798049645390071,0.7909234935133692,0.7949126449373862,21.246399086199258,21.41219849491801,440.0993359504862,0.4143617021276595,0.0953585802830393,0.0963982446435475,1.0,22025.35573470745,0.8802395209580839,0.8639857646954037,8.630238679354775,0.7560975609756098,0.7555404778619497,19.17794353205983,0.7484008528784648,0.7532442379827545,35.931015047183166,DANN recovery,,
9,216.47098971427755,0.849822695035461,0.8402162159259586,0.8396806885474981,11.802511666403182,13.954202148579698,202.5167878495886,0.4933510638297872,0.0971586683793508,0.0978000663160363,1.0,16900.508870096408,0.9191616766467066,0.904399820022186,3.5267801570321278,0.802439024390244,0.8050130954718322,12.345465460056213,0.7974413646055437,0.8112357322838576,19.535289382121203,DANN recovery,,
10,30.326375693463262,0.926418439716312,0.9111776506510552,0.9129223273770728,2.4799766941835397,3.651261311621088,26.67511446425255,0.6098404255319149,0.098266942935128,0.0986600142910987,1.0,4305.632448626579,0.9520958083832336,0.9447021630579872,1.125509475935376,0.8804878048780488,0.8828421282762172,2.824456619634861,0.906183368869936,0.9059886606189612,3.4899639869803813,DANN recovery,,
11,3.6856715455968327,0.9647163120567376,0.920101335847495,0.917255083675283,1.6909990315739682,0.5995477643188148,3.0861237804940407,0.738209219858156,0.0989452893376986,0.0991851957069363,1.0,883.7257802111037,0.9580838323353292,0.9504466554308092,0.6656371306873368,0.8853658536585366,0.8916658327614015,1.9462189511555,0.908315565031983,0.9181915193502742,2.4611410128790685,DANN recovery,,
12,6.366016424970424,0.97145390070922,0.907225009077736,0.9115008632690416,1.6986126716112515,0.3992434331330234,5.966772996111119,0.5514184397163121,0.0993589960460803,0.0995050552700656,1.0,907.8793038226188,0.9520958083832336,0.9446194257011538,0.8053230247543958,0.8804878048780488,0.8790927941083713,1.65066315255514,0.9019189765458422,0.8979628074236832,2.639851837524219,DANN recovery,,
13,13.866993120883372,0.9602836879432624,0.9234011357355276,0.924718040127556,1.5045336739380346,0.6814860918275095,13.185507031704518,0.4460106382978723,0.0996107517261771,0.0996995401735131,1.0,1476.6569229450631,0.9670658682634732,0.9610626818270857,0.494041601696208,0.8902439024390244,0.8860519145738286,1.8292207485292016,0.9168443496801706,0.9230888108056684,2.1903386715886946,DANN recovery,,
14,14.28951367723181,0.9569148936170212,0.91381344444912,0.9125815870469264,2.257949542349185,0.8524847010828734,13.43702901069154,0.4868794326241135,0.0997637494167712,0.0998176735009023,1.0,1934.3210446621508,0.9580838323353292,0.950431557942663,1.0707139399315335,0.875609756097561,0.8817125361586111,2.508114625549898,0.9040511727078892,0.9092962392460856,3.1950200615661237,DANN recovery,,
15,94.96338927898002,0.9195035460992907,0.8378976459963092,0.8419347170758074,10.816628590034457,3.853520051365616,91.10986920620532,0.4259751773049645,0.0998566540076052,0.0998893854707529,1.0,5452.746056869182,0.9161676646706588,0.900433856818289,4.79837258954248,0.8121951219512196,0.8075293379346721,9.859131324581984,0.7974413646055437,0.8057297432359665,17.792381855978896,DANN recovery,,
16,163.8210989769469,0.875886524822695,0.7846658932520477,0.8028432084813679,21.478158554978503,8.979576736051465,154.84152260638297,0.4547872340425531,0.0999130404753954,0.0999329014308996,1.0,10980.753506274934,0.9131736526946108,0.8914014539661125,6.540755380413489,0.751219512195122,0.7429741910938664,19.381861244759907,0.744136460554371,0.7196220346961641,38.51185903976213,DANN recovery,,
17,149.222441182238,0.87322695035461,0.8435771707564448,0.8386729894519558,14.219302295200798,9.436806945066772,139.78563438577854,0.4460992907801418,0.0999472527814464,0.0999593016174951,1.0,12098.398699301864,0.9011976047904192,0.8956023483500022,6.41555630803822,0.8195121951219512,0.8263332439562268,11.983698030797449,0.7953091684434968,0.8087959199631054,24.25865254676673,DANN recovery,,
18,185.07700737486493,0.874822695035461,0.8543274896936913,0.8620984356109664,10.686873214232667,10.138173284309946,174.93883355323305,0.412677304964539,0.0999680072093741,0.0999753158329417,1.0,14874.727175448805,0.907185628742515,0.8943483995761505,4.75857567929936,0.8390243902439024,0.8277988525901884,10.30552524473609,0.8400852878464818,0.840835216914735,16.996518718662546,DANN recovery,,
19,83.25743819297628,0.8971631205673759,0.8481771130268908,0.8653843802332409,7.588156761797698,6.744769988670457,76.51266818959662,0.5110815602836879,0.0999805962094065,0.0999850291617205,1.0,10115.402730219415,0.9011976047904192,0.8806595338971815,4.249896620561977,0.8463414634146341,0.8347879920958831,6.275504098287443,0.8486140724946695,0.829083813087608,12.239069566543677,DANN recovery,,
20,5.664148083138973,0.9579787234042552,0.9112010372678508,0.9105367713789748,1.377569544850607,0.8377172533101296,4.826430815838753,0.7907801418439716,0.0999882317996738,0.0999909204262595,1.0,1603.1293440798495,0.94311377245509,0.935933036420052,0.7802269569103896,0.8780487804878049,0.8809586094103496,1.4761896319505643,0.9104477611940298,0.9167114659731512,1.8762920456908656,DANN recovery,,
1,0.3985074925929942,0.9957446808510638,0.9466746799064284,0.9483923514975352,0.1965952471953986,0.0143486346866453,0.3841588579593821,0.8441489361702128,0.0016466173705436,0.0048793642047368,0.1004255319148935,4.641256738216319,0.9670658682634732,0.9608077269674836,0.1087885742148239,0.946341463414634,0.943446531846509,0.2444039089650642,0.9317697228144988,0.9357697809052922,0.2365932584063076,CDAN recovery,,
2,0.200405918632416,0.9980496453900708,0.9496054211824776,0.9499108912031884,0.2163070782088193,0.0052757797720818,0.1951301390503315,0.9422872340425532,0.0110681680800599,0.0184545472770915,0.3004255319148936,3.435384488105774,0.9670658682634732,0.9629647318817512,0.1303980313548204,0.9317073170731708,0.9307578825625564,0.2166180867247465,0.9509594882729212,0.955093649103125,0.3019051165468911,CDAN recovery,,
