model,condition,prediction_unchanged,mean_cosine,n_pairs
ResNet-50 + linear head,translation_32_left,False,0.9243444,7
ResNet-50 + linear head,translation_32_left,True,0.94043887,493
ResNet-50 + linear head,translation_32_right,False,0.89344406,8
ResNet-50 + linear head,translation_32_right,True,0.9204836,492
ResNet-50 + linear head,translation_32_up,False,0.9021781,5
ResNet-50 + linear head,translation_32_up,True,0.9383316,495
ViT-B/16 + linear head,cue_conflict,False,0.35713387,45
ViT-B/16 + linear head,cue_conflict,True,0.52740586,155
ViT-B/16 + linear head,grayscale,False,0.5760565,25
ViT-B/16 + linear head,grayscale,True,0.74783427,475
ViT-B/16 + linear head,patch_shuffle,False,0.58952415,41
ViT-B/16 + linear head,patch_shuffle,True,0.6590716,459
ViT-B/16 + linear head,translation_08_down,False,0.91552746,9
ViT-B/16 + linear head,translation_08_down,True,0.9452529,491
ViT-B/16 + linear head,translation_08_left,False,0.91047037,10
ViT-B/16 + linear head,translation_08_left,True,0.9508219,490
ViT-B/16 + linear head,translation_08_right,False,0.9064436,7
ViT-B/16 + linear head,translation_08_right,True,0.94954824,493
ViT-B/16 + linear head,translation_08_up,False,0.9305996,11
ViT-B/16 + linear head,translation_08_up,True,0.94512135,489
ViT-B/16 + linear head,translation_16_down,False,0.9625792,6
ViT-B/16 + linear head,translation_16_down,True,0.97177094,494
ViT-B/16 + linear head,translation_16_left,False,0.94739693,5
ViT-B/16 + linear head,translation_16_left,True,0.97638774,495
ViT-B/16 + linear head,translation_16_right,False,0.9349594,6
ViT-B/16 + linear head,translation_16_right,True,0.9755668,494
ViT-B/16 + linear head,translation_16_up,False,0.9479534,8
ViT-B/16 + linear head,translation_16_up,True,0.97487,492
ViT-B/16 + linear head,translation_32_down,False,0.8973132,11
ViT-B/16 + linear head,translation_32_down,True,0.93443465,489
ViT-B/16 + linear head,translation_32_left,False,0.87265736,12
ViT-B/16 + linear head,translation_32_left,True,0.9497187,488
ViT-B/16 + linear head,translation_32_right,False,0.890706,11
ViT-B/16 + linear head,translation_32_right,True,0.94980824,489
ViT-B/16 + linear head,translation_32_up,False,0.84694165,14
ViT-B/16 + linear head,translation_32_up,True,0.9396433,486
