model,Nshape,Ntexture,Nother,Ntotal,shape_bias_pct,coverage_pct
ResNet-50 + linear head,108,77,15,200,58.37837837837838,92.5
ViT-B/16 + linear head,154,37,9,200,80.6282722513089,95.5
CLIP ViT-B/32 + linear head,137,47,16,200,74.45652173913044,92.0
CLIP ViT-B/32 zero-shot,131,48,21,200,73.18435754189944,89.5
