model,score,group,unknown_class,predicted_known_class,accepted_count
vanilla,msp,near,tractor,bird,1
vanilla,msp,near,tractor,cat,0
vanilla,msp,near,tractor,deer,1
vanilla,msp,near,tractor,dog,0
vanilla,msp,near,tractor,frog,0
vanilla,msp,near,tractor,horse,0
vanilla,msp,near,tractor,ship,12
vanilla,msp,near,tractor,truck,49
vanilla,msp,near,wolf,airplane,0
vanilla,msp,near,wolf,automobile,0
vanilla,msp,near,wolf,bird,1
vanilla,msp,near,wolf,cat,42
vanilla,msp,near,wolf,deer,3
vanilla,msp,near,wolf,dog,35
vanilla,msp,near,wolf,frog,1
vanilla,msp,near,wolf,horse,1
vanilla,msp,near,wolf,ship,0
vanilla,msp,near,wolf,truck,0
vanilla,energy,near,bus,airplane,1
vanilla,energy,near,bus,automobile,14
vanilla,energy,near,bus,bird,0
vanilla,energy,near,bus,cat,0
vanilla,energy,near,bus,deer,0
vanilla,energy,near,bus,dog,0
vanilla,energy,near,bus,frog,0
vanilla,energy,near,bus,horse,1
vanilla,energy,near,bus,ship,0
vanilla,energy,near,bus,truck,67
vanilla,energy,near,camel,airplane,2
vanilla,energy,near,camel,automobile,0
vanilla,energy,near,camel,bird,11
vanilla,energy,near,camel,cat,1
vanilla,energy,near,camel,deer,14
vanilla,energy,near,camel,dog,16
vanilla,energy,near,camel,frog,0
vanilla,energy,near,camel,horse,16
vanilla,energy,near,camel,ship,0
vanilla,energy,near,camel,truck,0
vanilla,energy,near,fox,airplane,0
vanilla,energy,near,fox,automobile,0
vanilla,energy,near,fox,bird,0
vanilla,energy,near,fox,cat,26
vanilla,energy,near,fox,deer,26
vanilla,energy,near,fox,dog,11
vanilla,energy,near,fox,frog,0
vanilla,energy,near,fox,horse,5
vanilla,energy,near,fox,ship,0
vanilla,energy,near,fox,truck,0
vanilla,energy,near,leopard,airplane,0
vanilla,energy,near,leopard,automobile,0
vanilla,energy,near,leopard,bird,4
vanilla,energy,near,leopard,cat,27
vanilla,energy,near,leopard,deer,11
vanilla,energy,near,leopard,dog,2
vanilla,energy,near,leopard,frog,31
vanilla,energy,near,leopard,horse,0
vanilla,energy,near,leopard,ship,0
vanilla,energy,near,leopard,truck,0
vanilla,energy,near,motorcycle,airplane,5
vanilla,energy,near,motorcycle,automobile,19
vanilla,energy,near,motorcycle,bird,0
vanilla,energy,near,motorcycle,cat,1
vanilla,energy,near,motorcycle,deer,0
vanilla,energy,near,motorcycle,dog,0
vanilla,energy,near,motorcycle,frog,2
vanilla,energy,near,motorcycle,horse,2
vanilla,energy,near,motorcycle,ship,0
vanilla,energy,near,motorcycle,truck,9
vanilla,energy,near,pickup_truck,airplane,0
vanilla,energy,near,pickup_truck,automobile,66
vanilla,energy,near,pickup_truck,bird,0
vanilla,energy,near,pickup_truck,cat,0
vanilla,energy,near,pickup_truck,deer,0
vanilla,energy,near,pickup_truck,dog,0
vanilla,energy,near,pickup_truck,frog,0
vanilla,energy,near,pickup_truck,horse,0
vanilla,energy,near,pickup_truck,ship,0
vanilla,energy,near,pickup_truck,truck,25
vanilla,energy,near,tractor,airplane,1
vanilla,energy,near,tractor,automobile,2
vanilla,energy,near,tractor,bird,0
vanilla,energy,near,tractor,cat,0
vanilla,energy,near,tractor,deer,0
vanilla,energy,near,tractor,dog,0
vanilla,energy,near,tractor,frog,0
vanilla,energy,near,tractor,horse,0
vanilla,energy,near,tractor,ship,9
vanilla,energy,near,tractor,truck,40
vanilla,energy,near,wolf,airplane,0
vanilla,energy,near,wolf,automobile,0
vanilla,energy,near,wolf,bird,1
vanilla,energy,near,wolf,cat,45
vanilla,energy,near,wolf,deer,3
vanilla,energy,near,wolf,dog,37
vanilla,energy,near,wolf,frog,1
vanilla,energy,near,wolf,horse,1
vanilla,energy,near,wolf,ship,0
vanilla,energy,near,wolf,truck,0
vanilla,mahalanobis,near,bus,airplane,1
vanilla,mahalanobis,near,bus,automobile,14
vanilla,mahalanobis,near,bus,bird,0
vanilla,mahalanobis,near,bus,cat,0
vanilla,mahalanobis,near,bus,deer,0
vanilla,mahalanobis,near,bus,dog,0
vanilla,mahalanobis,near,bus,frog,0
vanilla,mahalanobis,near,bus,horse,1
vanilla,mahalanobis,near,bus,ship,1
vanilla,mahalanobis,near,bus,truck,71
vanilla,mahalanobis,near,camel,airplane,4
vanilla,mahalanobis,near,camel,automobile,0
vanilla,mahalanobis,near,camel,bird,11
vanilla,mahalanobis,near,camel,cat,2
vanilla,mahalanobis,near,camel,deer,13
vanilla,mahalanobis,near,camel,dog,20
vanilla,mahalanobis,near,camel,frog,1
vanilla,mahalanobis,near,camel,horse,17
vanilla,mahalanobis,near,camel,ship,0
vanilla,mahalanobis,near,camel,truck,0
vanilla,mahalanobis,near,fox,airplane,0
vanilla,mahalanobis,near,fox,automobile,0
vanilla,mahalanobis,near,fox,bird,1
vanilla,mahalanobis,near,fox,cat,28
vanilla,mahalanobis,near,fox,deer,28
vanilla,mahalanobis,near,fox,dog,10
vanilla,mahalanobis,near,fox,frog,3
vanilla,mahalanobis,near,fox,horse,4
vanilla,mahalanobis,near,fox,ship,0
vanilla,mahalanobis,near,fox,truck,0
vanilla,mahalanobis,near,leopard,airplane,0
vanilla,mahalanobis,near,leopard,automobile,0
vanilla,mahalanobis,near,leopard,bird,2
vanilla,mahalanobis,near,leopard,cat,27
vanilla,mahalanobis,near,leopard,deer,14
vanilla,mahalanobis,near,leopard,dog,2
vanilla,mahalanobis,near,leopard,frog,34
vanilla,mahalanobis,near,leopard,horse,0
vanilla,mahalanobis,near,leopard,ship,0
vanilla,mahalanobis,near,leopard,truck,0
vanilla,mahalanobis,near,motorcycle,airplane,9
vanilla,mahalanobis,near,motorcycle,automobile,22
vanilla,mahalanobis,near,motorcycle,bird,0
vanilla,mahalanobis,near,motorcycle,cat,1
vanilla,mahalanobis,near,motorcycle,deer,0
vanilla,mahalanobis,near,motorcycle,dog,0
vanilla,mahalanobis,near,motorcycle,frog,2
vanilla,mahalanobis,near,motorcycle,horse,3
vanilla,mahalanobis,near,motorcycle,ship,0
vanilla,mahalanobis,near,motorcycle,truck,9
vanilla,mahalanobis,near,pickup_truck,airplane,0
vanilla,mahalanobis,near,pickup_truck,automobile,64
vanilla,mahalanobis,near,pickup_truck,bird,0
vanilla,mahalanobis,near,pickup_truck,cat,0
vanilla,mahalanobis,near,pickup_truck,deer,0
vanilla,mahalanobis,near,pickup_truck,dog,0
vanilla,mahalanobis,near,pickup_truck,frog,0
vanilla,mahalanobis,near,pickup_truck,horse,0
vanilla,mahalanobis,near,pickup_truck,ship,0
vanilla,mahalanobis,near,pickup_truck,truck,23
vanilla,mahalanobis,near,tractor,airplane,1
vanilla,mahalanobis,near,tractor,automobile,2
vanilla,mahalanobis,near,tractor,bird,0
vanilla,mahalanobis,near,tractor,cat,0
vanilla,mahalanobis,near,tractor,deer,0
vanilla,mahalanobis,near,tractor,dog,0
vanilla,mahalanobis,near,tractor,frog,0
vanilla,mahalanobis,near,tractor,horse,1
vanilla,mahalanobis,near,tractor,ship,10
vanilla,mahalanobis,near,tractor,truck,51
vanilla,mahalanobis,near,wolf,airplane,0
vanilla,mahalanobis,near,wolf,automobile,0
vanilla,mahalanobis,near,wolf,bird,1
vanilla,mahalanobis,near,wolf,cat,41
vanilla,mahalanobis,near,wolf,deer,3
vanilla,mahalanobis,near,wolf,dog,36
vanilla,mahalanobis,near,wolf,frog,2
vanilla,mahalanobis,near,wolf,horse,1
vanilla,mahalanobis,near,wolf,ship,0
vanilla,mahalanobis,near,wolf,truck,0
vanilla,mls,far,bottle,airplane,0
vanilla,mls,far,bottle,automobile,2
vanilla,mls,far,bottle,bird,5
vanilla,mls,far,bottle,cat,11
vanilla,mls,far,bottle,deer,0
vanilla,mls,far,bottle,dog,1
vanilla,mls,far,bottle,frog,1
vanilla,mls,far,bottle,horse,0
vanilla,mls,far,bottle,ship,9
vanilla,mls,far,bottle,truck,2
vanilla,mls,far,bowl,airplane,6
vanilla,mls,far,bowl,automobile,9
vanilla,mls,far,bowl,bird,5
vanilla,mls,far,bowl,cat,15
vanilla,mls,far,bowl,deer,0
vanilla,mls,far,bowl,dog,3
vanilla,mls,far,bowl,frog,12
vanilla,mls,far,bowl,horse,0
vanilla,mls,far,bowl,ship,5
vanilla,mls,far,bowl,truck,1
vanilla,mls,far,chair,airplane,25
vanilla,mls,far,chair,automobile,2
vanilla,mls,far,chair,bird,5
vanilla,mls,far,chair,cat,1
vanilla,mls,far,chair,deer,1
vanilla,mls,far,chair,dog,0
vanilla,mls,far,chair,frog,1
vanilla,mls,far,chair,horse,0
vanilla,mls,far,chair,ship,1
vanilla,mls,far,chair,truck,5
vanilla,mls,far,clock,airplane,4
vanilla,mls,far,clock,automobile,9
vanilla,mls,far,clock,bird,3
vanilla,mls,far,clock,cat,9
vanilla,mls,far,clock,deer,0
vanilla,mls,far,clock,dog,1
vanilla,mls,far,clock,frog,2
vanilla,mls,far,clock,horse,0
vanilla,mls,far,clock,ship,5
vanilla,mls,far,clock,truck,6
vanilla,mls,far,keyboard,airplane,10
vanilla,mls,far,keyboard,automobile,0
vanilla,mls,far,keyboard,bird,3
vanilla,mls,far,keyboard,cat,7
vanilla,mls,far,keyboard,deer,0
vanilla,mls,far,keyboard,dog,0
vanilla,mls,far,keyboard,frog,3
vanilla,mls,far,keyboard,horse,2
vanilla,mls,far,keyboard,ship,2
vanilla,mls,far,keyboard,truck,10
vanilla,mls,far,mushroom,airplane,4
vanilla,mls,far,mushroom,automobile,0
vanilla,mls,far,mushroom,bird,23
vanilla,mls,far,mushroom,cat,8
vanilla,mls,far,mushroom,deer,2
vanilla,mls,far,mushroom,dog,4
vanilla,mls,far,mushroom,frog,15
vanilla,mls,far,mushroom,horse,0
vanilla,mls,far,mushroom,ship,0
vanilla,mls,far,mushroom,truck,0
vanilla,mls,far,sunflower,airplane,1
vanilla,mls,far,sunflower,automobile,0
vanilla,mls,far,sunflower,bird,23
vanilla,mls,far,sunflower,cat,4
vanilla,mls,far,sunflower,deer,0
vanilla,mls,far,sunflower,dog,7
vanilla,mls,far,sunflower,frog,8
vanilla,mls,far,sunflower,horse,0
vanilla,mls,far,sunflower,ship,0
vanilla,mls,far,sunflower,truck,3
vanilla,mls,far,wardrobe,airplane,0
vanilla,mls,far,wardrobe,automobile,0
vanilla,mls,far,wardrobe,bird,2
vanilla,mls,far,wardrobe,cat,21
vanilla,mls,far,wardrobe,deer,0
vanilla,mls,far,wardrobe,dog,0
vanilla,mls,far,wardrobe,frog,0
vanilla,mls,far,wardrobe,horse,0
vanilla,mls,far,wardrobe,ship,0
vanilla,mls,far,wardrobe,truck,37
vanilla,msp,far,bottle,airplane,1
vanilla,msp,far,bottle,automobile,2
vanilla,msp,far,bottle,bird,10
vanilla,msp,far,bottle,cat,14
vanilla,msp,far,bottle,deer,0
vanilla,msp,far,bottle,dog,2
vanilla,msp,far,bottle,frog,2
vanilla,msp,far,bottle,horse,0
vanilla,msp,far,bottle,ship,14
vanilla,msp,far,bottle,truck,5
vanilla,msp,far,bowl,airplane,5
vanilla,msp,far,bowl,automobile,12
vanilla,msp,far,bowl,bird,3
vanilla,msp,far,bowl,cat,18
vanilla,msp,far,bowl,deer,0
vanilla,msp,far,bowl,dog,3
vanilla,msp,far,bowl,frog,15
vanilla,msp,far,bowl,horse,0
vanilla,msp,far,bowl,ship,6
vanilla,msp,far,bowl,truck,1
vanilla,msp,far,chair,airplane,30
vanilla,msp,far,chair,automobile,2
vanilla,msp,far,chair,bird,8
vanilla,msp,far,chair,cat,6
vanilla,msp,far,chair,deer,1
vanilla,msp,far,chair,dog,0
vanilla,msp,far,chair,frog,1
vanilla,msp,far,chair,horse,1
vanilla,msp,far,chair,ship,3
vanilla,msp,far,chair,truck,7
vanilla,msp,far,clock,airplane,5
vanilla,msp,far,clock,automobile,12
vanilla,msp,far,clock,bird,5
vanilla,msp,far,clock,cat,16
vanilla,msp,far,clock,deer,1
vanilla,msp,far,clock,dog,3
vanilla,msp,far,clock,frog,3
vanilla,msp,far,clock,horse,0
vanilla,msp,far,clock,ship,7
vanilla,msp,far,clock,truck,7
vanilla,msp,far,keyboard,airplane,16
vanilla,msp,far,keyboard,automobile,2
vanilla,msp,far,keyboard,bird,7
vanilla,msp,far,keyboard,cat,11
vanilla,msp,far,keyboard,deer,1
vanilla,msp,far,keyboard,dog,0
vanilla,msp,far,keyboard,frog,4
vanilla,msp,far,keyboard,horse,3
vanilla,msp,far,keyboard,ship,3
vanilla,msp,far,keyboard,truck,12
vanilla,msp,far,mushroom,airplane,4
vanilla,msp,far,mushroom,automobile,0
vanilla,msp,far,mushroom,bird,25
vanilla,msp,far,mushroom,cat,11
vanilla,msp,far,mushroom,deer,4
vanilla,msp,far,mushroom,dog,4
vanilla,msp,far,mushroom,frog,17
vanilla,msp,far,mushroom,horse,1
vanilla,msp,far,mushroom,ship,1
vanilla,msp,far,mushroom,truck,0
vanilla,msp,far,sunflower,airplane,2
vanilla,msp,far,sunflower,automobile,0
vanilla,msp,far,sunflower,bird,23
vanilla,msp,far,sunflower,cat,5
vanilla,msp,far,sunflower,deer,1
vanilla,msp,far,sunflower,dog,10
vanilla,msp,far,sunflower,frog,13
vanilla,msp,far,sunflower,horse,0
vanilla,msp,far,sunflower,ship,0
vanilla,msp,far,sunflower,truck,3
vanilla,msp,far,wardrobe,airplane,0
vanilla,msp,far,wardrobe,automobile,0
vanilla,msp,far,wardrobe,bird,3
vanilla,msp,far,wardrobe,cat,26
vanilla,msp,far,wardrobe,deer,0
vanilla,msp,far,wardrobe,dog,0
vanilla,msp,far,wardrobe,frog,0
vanilla,msp,far,wardrobe,horse,1
vanilla,msp,far,wardrobe,ship,0
vanilla,msp,far,wardrobe,truck,35
vanilla,energy,far,bottle,airplane,0
vanilla,energy,far,bottle,automobile,2
vanilla,energy,far,bottle,bird,6
vanilla,energy,far,bottle,cat,11
vanilla,energy,far,bottle,deer,0
vanilla,energy,far,bottle,dog,1
vanilla,energy,far,bottle,frog,1
vanilla,energy,far,bottle,horse,0
vanilla,energy,far,bottle,ship,9
vanilla,energy,far,bottle,truck,3
vanilla,energy,far,bowl,airplane,5
vanilla,energy,far,bowl,automobile,9
vanilla,energy,far,bowl,bird,5
vanilla,energy,far,bowl,cat,14
vanilla,energy,far,bowl,deer,0
vanilla,energy,far,bowl,dog,3
vanilla,energy,far,bowl,frog,12
vanilla,energy,far,bowl,horse,0
vanilla,energy,far,bowl,ship,5
vanilla,energy,far,bowl,truck,1
vanilla,energy,far,chair,airplane,25
vanilla,energy,far,chair,automobile,2
vanilla,energy,far,chair,bird,5
vanilla,energy,far,chair,cat,1
vanilla,energy,far,chair,deer,1
vanilla,energy,far,chair,dog,0
vanilla,energy,far,chair,frog,1
vanilla,energy,far,chair,horse,0
vanilla,energy,far,chair,ship,1
vanilla,energy,far,chair,truck,5
vanilla,energy,far,clock,airplane,3
vanilla,energy,far,clock,automobile,9
vanilla,energy,far,clock,bird,3
vanilla,energy,far,clock,cat,9
vanilla,energy,far,clock,deer,0
vanilla,energy,far,clock,dog,1
vanilla,energy,far,clock,frog,2
vanilla,energy,far,clock,horse,0
vanilla,energy,far,clock,ship,5
vanilla,energy,far,clock,truck,6
vanilla,energy,far,keyboard,airplane,9
vanilla,energy,far,keyboard,automobile,1
vanilla,energy,far,keyboard,bird,3
vanilla,energy,far,keyboard,cat,6
vanilla,energy,far,keyboard,deer,0
vanilla,energy,far,keyboard,dog,0
vanilla,energy,far,keyboard,frog,3
vanilla,energy,far,keyboard,horse,2
vanilla,energy,far,keyboard,ship,2
vanilla,energy,far,keyboard,truck,10
vanilla,energy,far,mushroom,airplane,4
vanilla,energy,far,mushroom,automobile,0
vanilla,energy,far,mushroom,bird,21
vanilla,energy,far,mushroom,cat,8
vanilla,energy,far,mushroom,deer,2
vanilla,energy,far,mushroom,dog,5
vanilla,energy,far,mushroom,frog,15
vanilla,energy,far,mushroom,horse,0
vanilla,energy,far,mushroom,ship,0
vanilla,energy,far,mushroom,truck,0
vanilla,energy,far,sunflower,airplane,1
vanilla,energy,far,sunflower,automobile,0
vanilla,energy,far,sunflower,bird,23
vanilla,energy,far,sunflower,cat,4
vanilla,energy,far,sunflower,deer,0
vanilla,energy,far,sunflower,dog,7
vanilla,energy,far,sunflower,frog,8
vanilla,energy,far,sunflower,horse,0
vanilla,energy,far,sunflower,ship,0
vanilla,energy,far,sunflower,truck,3
vanilla,energy,far,wardrobe,airplane,0
vanilla,energy,far,wardrobe,automobile,0
vanilla,energy,far,wardrobe,bird,2
vanilla,energy,far,wardrobe,cat,20
vanilla,energy,far,wardrobe,deer,0
vanilla,energy,far,wardrobe,dog,0
vanilla,energy,far,wardrobe,frog,0
vanilla,energy,far,wardrobe,horse,0
vanilla,energy,far,wardrobe,ship,0
vanilla,energy,far,wardrobe,truck,38
vanilla,mahalanobis,far,bottle,airplane,1
vanilla,mahalanobis,far,bottle,automobile,2
vanilla,mahalanobis,far,bottle,bird,10
vanilla,mahalanobis,far,bottle,cat,12
vanilla,mahalanobis,far,bottle,deer,0
vanilla,mahalanobis,far,bottle,dog,1
vanilla,mahalanobis,far,bottle,frog,1
vanilla,mahalanobis,far,bottle,horse,0
vanilla,mahalanobis,far,bottle,ship,14
vanilla,mahalanobis,far,bottle,truck,6
vanilla,mahalanobis,far,bowl,airplane,5
vanilla,mahalanobis,far,bowl,automobile,9
vanilla,mahalanobis,far,bowl,bird,3
vanilla,mahalanobis,far,bowl,cat,13
vanilla,mahalanobis,far,bowl,deer,0
vanilla,mahalanobis,far,bowl,dog,3
vanilla,mahalanobis,far,bowl,frog,12
vanilla,mahalanobis,far,bowl,horse,0
vanilla,mahalanobis,far,bowl,ship,5
vanilla,mahalanobis,far,bowl,truck,1
vanilla,mahalanobis,far,chair,airplane,26
vanilla,mahalanobis,far,chair,automobile,1
vanilla,mahalanobis,far,chair,bird,8
vanilla,mahalanobis,far,chair,cat,5
vanilla,mahalanobis,far,chair,deer,0
vanilla,mahalanobis,far,chair,dog,0
vanilla,mahalanobis,far,chair,frog,1
vanilla,mahalanobis,far,chair,horse,1
vanilla,mahalanobis,far,chair,ship,2
vanilla,mahalanobis,far,chair,truck,9
vanilla,mahalanobis,far,clock,airplane,3
vanilla,mahalanobis,far,clock,automobile,11
vanilla,mahalanobis,far,clock,bird,4
vanilla,mahalanobis,far,clock,cat,13
vanilla,mahalanobis,far,clock,deer,1
vanilla,mahalanobis,far,clock,dog,2
vanilla,mahalanobis,far,clock,frog,2
vanilla,mahalanobis,far,clock,horse,0
vanilla,mahalanobis,far,clock,ship,4
vanilla,mahalanobis,far,clock,truck,7
vanilla,mahalanobis,far,keyboard,airplane,10
vanilla,mahalanobis,far,keyboard,automobile,0
vanilla,mahalanobis,far,keyboard,bird,6
vanilla,mahalanobis,far,keyboard,cat,9
vanilla,mahalanobis,far,keyboard,deer,0
vanilla,mahalanobis,far,keyboard,dog,1
vanilla,mahalanobis,far,keyboard,frog,4
vanilla,mahalanobis,far,keyboard,horse,3
vanilla,mahalanobis,far,keyboard,ship,3
vanilla,mahalanobis,far,keyboard,truck,11
vanilla,mahalanobis,far,mushroom,airplane,3
vanilla,mahalanobis,far,mushroom,automobile,0
vanilla,mahalanobis,far,mushroom,bird,25
vanilla,mahalanobis,far,mushroom,cat,8
vanilla,mahalanobis,far,mushroom,deer,3
vanilla,mahalanobis,far,mushroom,dog,5
vanilla,mahalanobis,far,mushroom,frog,15
vanilla,mahalanobis,far,mushroom,horse,1
vanilla,mahalanobis,far,mushroom,ship,1
vanilla,mahalanobis,far,mushroom,truck,0
vanilla,mahalanobis,far,sunflower,airplane,2
vanilla,mahalanobis,far,sunflower,automobile,0
vanilla,mahalanobis,far,sunflower,bird,22
vanilla,mahalanobis,far,sunflower,cat,4
vanilla,mahalanobis,far,sunflower,deer,1
vanilla,mahalanobis,far,sunflower,dog,8
vanilla,mahalanobis,far,sunflower,frog,13
vanilla,mahalanobis,far,sunflower,horse,0
vanilla,mahalanobis,far,sunflower,ship,0
vanilla,mahalanobis,far,sunflower,truck,2
vanilla,mahalanobis,far,wardrobe,airplane,0
vanilla,mahalanobis,far,wardrobe,automobile,0
vanilla,mahalanobis,far,wardrobe,bird,2
vanilla,mahalanobis,far,wardrobe,cat,20
vanilla,mahalanobis,far,wardrobe,deer,0
vanilla,mahalanobis,far,wardrobe,dog,0
vanilla,mahalanobis,far,wardrobe,frog,0
vanilla,mahalanobis,far,wardrobe,horse,2
vanilla,mahalanobis,far,wardrobe,ship,0
vanilla,mahalanobis,far,wardrobe,truck,33
gcsc,mls,near,bus,airplane,1
gcsc,mls,near,bus,automobile,14
gcsc,mls,near,bus,bird,0
gcsc,mls,near,bus,cat,0
gcsc,mls,near,bus,deer,0
gcsc,mls,near,bus,dog,0
gcsc,mls,near,bus,frog,0
gcsc,mls,near,bus,horse,1
gcsc,mls,near,bus,ship,2
gcsc,mls,near,bus,truck,68
gcsc,mls,near,camel,airplane,2
gcsc,mls,near,camel,automobile,0
gcsc,mls,near,camel,bird,8
gcsc,mls,near,camel,cat,4
gcsc,mls,near,camel,deer,15
gcsc,mls,near,camel,dog,11
gcsc,mls,near,camel,frog,0
gcsc,mls,near,camel,horse,13
gcsc,mls,near,camel,ship,0
gcsc,mls,near,camel,truck,0
gcsc,mls,near,fox,airplane,1
gcsc,mls,near,fox,automobile,0
gcsc,mls,near,fox,bird,0
gcsc,mls,near,fox,cat,31
gcsc,mls,near,fox,deer,20
gcsc,mls,near,fox,dog,15
gcsc,mls,near,fox,frog,0
gcsc,mls,near,fox,horse,2
gcsc,mls,near,fox,ship,0
gcsc,mls,near,fox,truck,0
gcsc,mls,near,leopard,airplane,0
