epoch,train_loss,train_accuracy,mean_val_macro_f1,mean_val_accuracy,mean_val_loss,classification_loss,mmd_loss,weighted_mmd_loss,photo_accuracy,photo_macro_f1,photo_loss,art_painting_accuracy,art_painting_macro_f1,art_painting_loss,cartoon_accuracy,cartoon_macro_f1,cartoon_loss
1,0.7725588665363636,0.8175531914893617,0.9117626093769785,0.915643423226873,0.25303747948128585,0.5524058428533534,0.22015302637790113,0.22015302637790113,0.9550898203592815,0.946977737327623,0.1385174290148798,0.8707317073170732,0.8674800800767348,0.3713280514972966,0.9211087420042644,0.9208300107265773,0.24926695793168122
2,0.40242759775608145,0.9322695035460993,0.9177321299379458,0.9182869997692483,0.24188729555709307,0.22028830324081664,0.1821392941982188,0.1821392941982188,0.9550898203592815,0.9468146745956437,0.1471280901731845,0.8829268292682927,0.8831514209093331,0.3365728785352009,0.9168443496801706,0.9232302943088607,0.24196091796289373
3,0.3093448006726326,0.9654255319148937,0.9315742071691763,0.9315576450199087,0.2049123582907285,0.13480402874027161,0.17454077335114174,0.17454077335114174,0.9610778443113772,0.9550092926360814,0.10147684643011608,0.8975609756097561,0.9006784353452362,0.2948042590443681,0.9360341151385928,0.9390348935262111,0.21845596939770143
4,0.2948007657172832,0.9695035460992908,0.9214182104588297,0.9227604388705557,0.2474855284122204,0.12458050526837085,0.17022026041720775,0.17022026041720775,0.9700598802395209,0.9629857167913957,0.12939594159583132,0.8536585365853658,0.854886759031307,0.40875502330500907,0.9445628997867804,0.9463821555537865,0.2043056203358209
5,0.2613479178636632,0.9799645390070922,0.9394005458534167,0.9396290574501318,0.18371045777129347,0.09013543792782312,0.17121247940875114,0.17121247940875114,0.9700598802395209,0.9647398744552039,0.115385740103122,0.9,0.9013990542925813,0.278650497808689,0.9488272921108742,0.9520627088124651,0.15709513540206943
6,0.24956886349840368,0.9826241134751773,0.9167131305250412,0.914621368319578,0.23834669086361404,0.07987440722261338,0.16969445614104575,0.16969445614104575,0.9401197604790419,0.9366416492217026,0.1546601406828372,0.8975609756097561,0.8987526394309782,0.27579087513249095,0.906183368869936,0.9147451029224428,0.284589056775514
7,0.24012158300648345,0.9895390070921986,0.9358574614753644,0.9371803379563614,0.19331585812381671,0.06905116362774626,0.171070419473851,0.171070419473851,0.9550898203592815,0.9504179048172345,0.14129651806311694,0.9097560975609756,0.9079807940904511,0.2582858639519389,0.9466950959488273,0.9491736855184076,0.1803651923563943
8,0.22168704569339753,0.9930851063829788,0.9368939235031698,0.939716437944227,0.18349777088006206,0.05759250479254951,0.16409454142793695,0.16409454142793695,0.9550898203592815,0.9467159700850816,0.14052923567994627,0.9024390243902439,0.9018842454265776,0.2833998563813,0.9616204690831557,0.9620815549978499,0.12656422057893993
9,0.22405830903890286,0.9934397163120567,0.9355635147756542,0.9362115853580685,0.21411973755319078,0.05358089474128916,0.17047741463843813,0.17047741463843813,0.9640718562874252,0.9562479461153905,0.15016217663616477,0.9,0.9032285104234957,0.31336800964867195,0.9445628997867804,0.9472140877880764,0.17882902637473555
10,0.21715444602230763,0.9890070921985815,0.9169730884926156,0.9203117193767855,0.24190680787012164,0.06352318238387716,0.15363126409814712,0.15363126409814712,0.9550898203592815,0.9466510583287675,0.12610799957535224,0.8634146341463415,0.8568654341459114,0.3941832309815942,0.9424307036247335,0.9474027730031681,0.2054291930534184
