method,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,target_accuracy,target_macro_f1,domain_separability,probe_train_count,probe_test_count,target_accuracy_change_pp,lambda_mmd
DAN λ=0.1,0.9700598802395208,0.9659460884441776,0.9365853658536586,0.9381987171703398,0.9594882729211088,0.9642422055414543,0.9553778396714292,0.9561290037186572,0.6943242555357597,0.6530667574468055,0.9271978021978022,1698,728,0.279969457877316,0.1
DAN,0.9700598802395208,0.964739874455204,0.9,0.9013990542925812,0.9488272921108742,0.9520627088124652,0.9396290574501318,0.9394005458534168,0.5920081445660473,0.5384162593501497,0.8241758241758241,1698,728,-9.95164163909392,1.0
DAN λ=10,0.2574850299401197,0.0585034013605442,0.2195121951219512,0.0514285714285714,0.1727078891257995,0.042077922077922,0.2165683713959568,0.0506699649556792,0.0407228302367014,0.0111798204241344,0.7348901098901099,1698,728,-65.08017307202851,10.0
