domain,accuracy,macro_f1,loss,count
photo,0.2964071856287425,0.1643344128899186,5.0289646993854085,334
art_painting,0.2219512195121951,0.141163618689323,4.839669818412967,410
cartoon,0.1982942430703624,0.1755601049315406,5.320243201021955,469
