domain,accuracy,macro_f1,loss,count,method
photo,0.9670658682634732,0.9610626818270857,0.494041601696208,334,DANN recovery
art_painting,0.8902439024390244,0.8860519145738286,1.8292207485292016,410,DANN recovery
cartoon,0.9168443496801706,0.9230888108056684,2.1903386715886946,469,DANN recovery
photo,0.9730538922155688,0.9685257952796098,0.1480459351248596,334,CDAN recovery
art_painting,0.9414634146341464,0.940024929642412,0.3141333467168052,410,CDAN recovery
cartoon,0.957356076759062,0.9601378965253126,0.2632925383317699,469,CDAN recovery
photo,0.937125748502994,0.9275969507798096,0.4268949217425135,334,DAN λ=10 recovery
art_painting,0.8121951219512196,0.81179996025345,0.7512213009159739,410,DAN λ=10 recovery
cartoon,0.908315565031983,0.9107989526403336,0.4401606415380547,469,DAN λ=10 recovery
