method,photo_accuracy_pct,photo_macro_f1_pct,art_painting_accuracy_pct,art_painting_macro_f1_pct,cartoon_accuracy_pct,cartoon_macro_f1_pct,mean_source_accuracy_pct,mean_source_macro_f1_pct,target_accuracy_pct,target_macro_f1_pct,domain_separability_pct,probe_train_count,probe_test_count,target_accuracy_change_pp
Source-only,96.70658682634732,95.97617474516996,90.0,90.00523742360991,94.88272921108742,95.24186150028467,93.86310534581158,93.74109122302153,69.15245609569865,69.72510975080013,99.86263736263736,1698,728,0.0
DAN,97.00598802395209,96.47398744552041,90.0,90.13990542925812,94.88272921108742,95.20627088124652,93.96290574501319,93.94005458534168,59.20081445660473,53.84162593501497,82.41758241758241,1698,728,-9.95164163909392
DANN,29.64071856287425,16.433441288991858,22.19512195121951,14.1163618689323,19.829424307036238,17.55601049315406,23.888421607043338,16.03527121702607,18.04530414863833,6.36753167238606,99.86263736263736,1698,728,-51.10715194706032
CDAN,52.99401197604791,35.244243636334346,40.48780487804878,31.67334377218844,39.23240938166311,31.34998280943545,44.23807541191993,32.75585673931941,2.08704504963094,0.65011775205262,99.17582417582418,1698,728,-67.06541104606771
DAN λ=0.1,97.00598802395209,96.59460884441776,93.65853658536587,93.81987171703398,95.94882729211088,96.42422055414544,95.53778396714291,95.61290037186572,69.43242555357597,65.30667574468055,92.71978021978022,1698,728,0.279969457877316
DAN λ=10,25.748502994011968,5.85034013605442,21.95121951219512,5.14285714285714,17.270788912579953,4.2077922077922,21.65683713959568,5.06699649556792,4.07228302367014,1.11798204241344,73.48901098901099,1698,728,-65.08017307202851
