epoch,train_loss,train_accuracy,mean_val_macro_f1,mean_val_accuracy,mean_val_loss,photo_accuracy,photo_macro_f1,photo_loss,art_painting_accuracy,art_painting_macro_f1,art_painting_loss,cartoon_accuracy,cartoon_macro_f1,cartoon_loss,method,family,classification_loss,mmd_loss,weighted_mmd_loss,domain_loss,domain_accuracy,mean_grl_strength,last_grl_strength
1,0.4615214230532342,0.8391843971631205,0.8919069596890111,0.8915646682608572,0.3430095895150915,0.937125748502994,0.9251231874306904,0.1896723485635426,0.8121951219512196,0.8162733641133383,0.6505627922895478,0.9253731343283582,0.9343243275230048,0.1887936276921839,Source-only,original,,,,,,,
2,0.2241952012471379,0.9218085106382978,0.9199646740184284,0.9189541246177882,0.2790416958105607,0.9461077844311376,0.9378122752079796,0.1590824733951134,0.902439024390244,0.9051516706086326,0.3436912472655133,0.908315565031983,0.9169300762386726,0.3343513667710554,Source-only,original,,,,,,,
3,0.1435391958944123,0.952127659574468,0.9122985854242162,0.9168655356612168,0.2441828684291866,0.9550898203592816,0.9448911193820276,0.1168653058434674,0.8829268292682927,0.8771271953637153,0.3731880757866836,0.9125799573560768,0.9148774415269052,0.2424952236574087,Source-only,original,,,,,,,
4,0.106870877320576,0.9645390070921984,0.9374109122302152,0.9386310534581158,0.2197263075988615,0.9670658682634732,0.9597617474516996,0.091788312905429,0.9,0.9000523742360992,0.3854148822404989,0.9488272921108742,0.9524186150028467,0.1819757276506566,Source-only,original,,,,,,,
5,0.0919248327676657,0.9700354609929078,0.9291377853675232,0.9295908884295998,0.1971219840374874,0.9670658682634732,0.961250446609781,0.1042571719178182,0.8878048780487805,0.8863858906698423,0.3236982218194298,0.9339019189765458,0.9397770188229464,0.1634105583752142,Source-only,original,,,,,,,
6,0.0796246777203781,0.975177304964539,0.9302421589049236,0.93115374119409,0.2112947143272408,0.9610778443113772,0.95311303627315,0.1177757170029029,0.9048780487804878,0.9035769957370468,0.250454060333531,0.9275053304904052,0.9340364447045734,0.2656543656452886,Source-only,original,,,,,,,
7,0.086907595682374,0.97322695035461,0.931238195957198,0.933475593926298,0.2224660438949187,0.9461077844311376,0.9391202848382312,0.1667011423025302,0.9097560975609756,0.9071204706239288,0.255357393949497,0.9445628997867804,0.9474738324094344,0.2453395954327288,Source-only,original,,,,,,,
8,0.0644319395909947,0.9789007092198582,0.911564582940097,0.9150493230606755,0.2540502364020423,0.9520958083832336,0.9444311608422016,0.1480045973094637,0.8634146341463415,0.85472703702031,0.3919474171429146,0.929637526652452,0.9355355509577796,0.2221986947537485,Source-only,original,,,,,,,
9,0.061166367082455,0.9797872340425532,0.8984693210031226,0.9031219167572598,0.3909396705512387,0.9580838323353292,0.948931567461764,0.1575561354974073,0.8195121951219512,0.8085658096196617,0.727347284410058,0.9317697228144988,0.937910585927942,0.287915591746251,Source-only,original,,,,,,,
1,0.7725588665363636,0.8175531914893617,0.9117626093769784,0.915643423226873,0.2530374794812858,0.9550898203592816,0.946977737327623,0.1385174290148798,0.8707317073170732,0.8674800800767348,0.3713280514972966,0.9211087420042644,0.9208300107265772,0.2492669579316812,DAN,original,0.5524058428533534,0.2201530263779011,0.2201530263779011,,,,
