domain,accuracy,macro_f1,loss,count
photo,0.937125748502994,0.9275969507798096,0.4268949217425135,334
art_painting,0.8121951219512196,0.81179996025345,0.7512213009159739,410
cartoon,0.908315565031983,0.9107989526403336,0.4401606415380547,469
