method,true_class,predicted_class,count
DAN lambda=0.1,horse,giraffe,40
DAN lambda=0.1,horse,guitar,0
DAN lambda=0.1,horse,horse,551
DAN lambda=0.1,horse,house,85
DAN lambda=0.1,horse,person,80
DAN lambda=0.1,house,dog,0
DAN lambda=0.1,house,elephant,0
DAN lambda=0.1,house,giraffe,0
DAN lambda=0.1,house,guitar,0
DAN lambda=0.1,house,horse,0
DAN lambda=0.1,house,house,80
DAN lambda=0.1,house,person,0
DAN lambda=0.1,person,dog,0
DAN lambda=0.1,person,elephant,0
DAN lambda=0.1,person,giraffe,0
DAN lambda=0.1,person,guitar,0
DAN lambda=0.1,person,horse,0
DAN lambda=0.1,person,house,6
DAN lambda=0.1,person,person,154
DAN lambda=10,dog,dog,0
DAN lambda=10,dog,elephant,0
DAN lambda=10,dog,giraffe,0
DAN lambda=10,dog,guitar,0
DAN lambda=10,dog,horse,0
DAN lambda=10,dog,house,0
DAN lambda=10,dog,person,772
DAN lambda=10,elephant,dog,0
DAN lambda=10,elephant,elephant,0
DAN lambda=10,elephant,giraffe,0
DAN lambda=10,elephant,guitar,0
DAN lambda=10,elephant,horse,0
DAN lambda=10,elephant,house,0
DAN lambda=10,elephant,person,740
DAN lambda=10,giraffe,dog,0
DAN lambda=10,giraffe,elephant,0
DAN lambda=10,giraffe,giraffe,0
DAN lambda=10,giraffe,guitar,0
DAN lambda=10,giraffe,horse,0
DAN lambda=10,giraffe,house,0
DAN lambda=10,giraffe,person,753
DAN lambda=10,guitar,dog,0
DAN lambda=10,guitar,elephant,0
DAN lambda=10,guitar,giraffe,0
DAN lambda=10,guitar,guitar,0
DAN lambda=10,guitar,horse,0
DAN lambda=10,guitar,house,0
DAN lambda=10,guitar,person,608
DAN lambda=10,horse,dog,0
DAN lambda=10,horse,elephant,0
DAN lambda=10,horse,giraffe,0
DAN lambda=10,horse,guitar,0
DAN lambda=10,horse,horse,0
DAN lambda=10,horse,house,0
DAN lambda=10,horse,person,816
DAN lambda=10,house,dog,0
DAN lambda=10,house,elephant,0
DAN lambda=10,house,giraffe,0
DAN lambda=10,house,guitar,0
DAN lambda=10,house,horse,0
DAN lambda=10,house,house,0
DAN lambda=10,house,person,80
DAN lambda=10,person,dog,0
DAN lambda=10,person,elephant,0
DAN lambda=10,person,giraffe,0
DAN lambda=10,person,guitar,0
DAN lambda=10,person,horse,0
DAN lambda=10,person,house,0
DAN lambda=10,person,person,160
