method,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,target_accuracy,target_macro_f1,domain_separability,probe_train_count,probe_test_count,target_accuracy_change_pp
Source-only,0.9670658682634731,0.9597617474516996,0.9,0.9000523742360992,0.9488272921108742,0.9524186150028467,0.9386310534581158,0.9374109122302152,0.6915245609569866,0.6972510975080013,0.9986263736263736,1698,728,0.0
DAN,0.9700598802395209,0.9647398744552039,0.9,0.9013990542925813,0.9488272921108742,0.9520627088124651,0.9396290574501318,0.9394005458534167,0.5920081445660473,0.5384162593501497,0.8241758241758241,1698,728,-9.951641639093921
DANN,0.2964071856287425,0.16433441288991865,0.22195121951219512,0.141163618689323,0.19829424307036247,0.17556010493154064,0.2388842160704334,0.16035271217026079,0.1804530414863833,0.06367531672386065,0.9986263736263736,1698,728,-51.10715194706032
CDAN,0.5299401197604791,0.35244243636334355,0.40487804878048783,0.3167334377218844,0.39232409381663114,0.31349982809435456,0.44238075411919936,0.32755856739319417,0.020870450496309492,0.006501177520526266,0.9917582417582418,1698,728,-67.06541104606771
DAN lambda=0.1,0.9700598802395209,0.9659460884441776,0.9365853658536586,0.9381987171703398,0.9594882729211087,0.9642422055414543,0.9553778396714293,0.9561290037186572,0.6943242555357597,0.6530667574468055,0.9271978021978022,1698,728,0.279969457877316
DAN lambda=10,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.04072283023670145,0.011179820424134438,0.7348901098901099,1698,728,-65.08017307202851
