method,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,worst_source_accuracy,worst_source_macro_f1,source_domain_separability,probe_train_count,probe_test_count,probe_per_domain,sharpness,sharpness_clean_loss,sharpness_perturbed_loss,sharpness_gradient_norm,sketch_accuracy,sketch_macro_f1,sketch_accuracy_change_pp
ERM,0.9670658682634732,0.9597617474516996,0.9,0.9000523742360992,0.9488272921108742,0.9524186150028467,0.9386310534581158,0.9374109122302152,0.9,0.9000523742360992,0.8637873754152824,701,301,334,0.2333454191684723,0.2347604036331176,0.4681058228015899,4.272191047668457,0.6915245609569866,0.6972510975080013,0.0
DAN-DG,0.2574850299401197,0.0585034013605442,0.2195121951219512,0.0514285714285714,0.1727078891257995,0.042077922077922,0.2165683713959568,0.0506699649556792,0.1727078891257995,0.042077922077922,0.5448504983388704,701,301,334,0.0152437686920166,1.932010531425476,1.947254300117493,1.5058324337005615,0.04072283023670145,0.011179820424134438,-65.08017307202851
SAM,0.9730538922155688,0.9670886410215064,0.9195121951219511,0.9186484738547052,0.9637526652452024,0.968083436873336,0.9521062508609076,0.9512735172498492,0.9195121951219511,0.9186484738547052,0.840531561461794,701,301,334,0.1202084869146347,0.1774003356695175,0.2976088225841522,1.961614966392517,0.7449732756426571,0.7620672333166999,5.344871468567058
DAN-DG lambda=0.1,0.9730538922155688,0.9686676312999556,0.9341463414634148,0.9319988200712488,0.9509594882729212,0.953590504722822,0.9527199073173016,0.9514189853646756,0.9341463414634148,0.9319988200712488,0.7109634551495017,701,301,334,0.1760052591562271,0.1731407195329666,0.3491459786891937,3.1458983421325684,0.6202596080427589,0.6422209376810496,-7.1264952914227635
DAN-DG lambda=10,0.2574850299401197,0.0585034013605442,0.2195121951219512,0.0514285714285714,0.1727078891257995,0.042077922077922,0.2165683713959568,0.0506699649556792,0.1727078891257995,0.042077922077922,0.6710963455149501,701,301,334,0.0191774368286132,1.9274816513061523,1.9466590881347656,1.2832839488983154,0.04072283023670145,0.011179820424134438,-65.08017307202851
