method,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,target_accuracy,target_macro_f1,domain_separability,probe_train_count,probe_test_count,target_accuracy_change_pp
Source-only,0.9670658682634732,0.9597617474516996,0.9,0.9000523742360992,0.9488272921108742,0.9524186150028467,0.9386310534581158,0.9374109122302152,0.6915245609569866,0.6972510975080013,0.9986263736263736,1698,728,0.0
DAN,0.9700598802395208,0.964739874455204,0.9,0.9013990542925812,0.9488272921108742,0.9520627088124652,0.9396290574501318,0.9394005458534168,0.5920081445660473,0.5384162593501497,0.8241758241758241,1698,728,-9.95164163909392
