method,class_name,count,accuracy,dominant_confusion,dominant_confusion_count,accuracy_change_pp
ERM,dog,772,0.34067357512953367,elephant,356,0.0
ERM,elephant,740,0.9918918918918919,dog,3,0.0
ERM,giraffe,753,0.7197875166002656,horse,90,0.0
ERM,guitar,608,0.8536184210526315,elephant,79,0.0
ERM,horse,816,0.6470588235294118,elephant,214,0.0
ERM,house,80,0.725,elephant,15,0.0
ERM,person,160,0.45625,elephant,49,0.0
DAN-DG,dog,772,0.0,person,772,-34.067357512953365
DAN-DG,elephant,740,0.0,person,740,-99.1891891891892
DAN-DG,giraffe,753,0.0,person,753,-71.97875166002656
DAN-DG,guitar,608,0.0,person,608,-85.36184210526315
DAN-DG,horse,816,0.0,person,816,-64.70588235294117
DAN-DG,house,80,0.0,person,80,-72.5
DAN-DG,person,160,1.0,,0,54.37499999999999
SAM,dog,772,0.4520725388601036,elephant,222,11.139896373056995
SAM,elephant,740,0.9175675675675675,dog,43,-7.432432432432434
SAM,giraffe,753,0.8247011952191236,elephant,46,10.491367861885792
SAM,guitar,608,0.9276315789473685,giraffe,22,7.401315789473695
SAM,horse,816,0.6482843137254902,elephant,115,0.1225490196078427
SAM,house,80,0.8375,elephant,10,11.250000000000004
SAM,person,160,0.7375,giraffe,22,28.125000000000007
DAN-DG lambda=0.1,dog,772,0.4961139896373057,person,244,15.544041450777202
DAN-DG lambda=0.1,elephant,740,0.6054054054054054,person,140,-38.648648648648646
DAN-DG lambda=0.1,giraffe,753,0.7343957503320053,person,82,1.4608233731739695
DAN-DG lambda=0.1,guitar,608,0.8486842105263158,giraffe,37,-0.49342105263157077
DAN-DG lambda=0.1,horse,816,0.42034313725490197,dog,200,-22.671568627450984
DAN-DG lambda=0.1,house,80,0.75,person,14,2.500000000000002
DAN-DG lambda=0.1,person,160,0.8375,giraffe,20,38.125
DAN-DG lambda=10,dog,772,0.0,person,772,-34.067357512953365
DAN-DG lambda=10,elephant,740,0.0,person,740,-99.1891891891892
DAN-DG lambda=10,giraffe,753,0.0,person,753,-71.97875166002656
DAN-DG lambda=10,guitar,608,0.0,person,608,-85.36184210526315
DAN-DG lambda=10,horse,816,0.0,person,816,-64.70588235294117
DAN-DG lambda=10,house,80,0.0,person,80,-72.5
DAN-DG lambda=10,person,160,1.0,,0,54.37499999999999
