epoch,train_loss,train_accuracy,mean_val_macro_f1,mean_val_accuracy,mean_val_loss,classification_loss,mmd_loss,weighted_mmd_loss,mean_alignment_ramp,mean_gradient_norm_before_clip,photo_accuracy,photo_macro_f1,photo_loss,art_painting_accuracy,art_painting_macro_f1,art_painting_loss,cartoon_accuracy,cartoon_macro_f1,cartoon_loss
1,0.07193891269283646,0.9962765957446809,0.9476878185653685,0.948572146881026,0.14924148564692682,0.019219746651597622,0.5471564886417795,0.052719166118929045,0.10042553191489359,1.8308548406559102,0.9700598802395209,0.9645223694130746,0.07317284284951445,0.926829268292683,0.9245206154082314,0.21634696809256948,0.9488272921108742,0.9540204708747998,0.15820464599869652
2,0.18307893206464484,0.99822695035461,0.9533481273744268,0.9542240912112018,0.1668457891455937,0.03834321750129791,0.4826169488277841,0.14473571441275007,0.3004255319148936,1.9015553621535606,0.9760479041916168,0.9717480430191313,0.09733551312349513,0.9292682926829269,0.9265210080266838,0.2421424874445287,0.9573560767590619,0.9617753310774653,0.16105936686875724
3,0.2945757051731678,0.9980496453900709,0.9525314758570208,0.9529583715713822,0.20523360209139418,0.06029132738550927,0.46897333923806533,0.23428437798581225,0.5004255319148936,2.2638389019255944,0.9670658682634731,0.9615422782801167,0.12345981812048815,0.9365853658536586,0.9355474254641024,0.27482164138700904,0.9552238805970149,0.9605047238268433,0.21741934676668537
4,0.40622758890720123,0.998758865248227,0.9478344598471403,0.9481630425767634,0.22254150176536766,0.08525048643350601,0.459211965063785,0.32097710193471707,0.7004255319148935,2.877141904323659,0.9700598802395209,0.9654380800630306,0.13593155681016203,0.9170731707317074,0.9151407522412282,0.31147260433290064,0.9573560767590619,0.9629245472371625,0.22022034415304026
5,0.5424020025324314,0.9964539007092199,0.9467139719539791,0.9467611347589289,0.273451787815618,0.12596580181667144,0.46232011533798056,0.41643620038286167,0.9004255319148936,3.7683267532510962,0.9670658682634731,0.9635079742132586,0.1903170839755121,0.9243902439024391,0.9216165672068265,0.3538087728546887,0.9488272921108742,0.9550173744418525,0.2762295066166534
6,0.5890757615261889,0.9975177304964539,0.9545764828451967,0.9533283632952515,0.263052704093968,0.13981789081020557,0.44925787055746036,0.4492578720792811,1.0,4.130028188989518,0.9730538922155688,0.969517759163001,0.18678682078858336,0.9317073170731708,0.9338387889424576,0.34310325064310215,0.9552238805970149,0.9603729004301318,0.25926804085021843
7,0.5940088339308475,0.99822695035461,0.9449446091886369,0.9449501226368314,0.2661641690603265,0.1418031594220628,0.4522056745087847,0.4522056745087847,1.0,4.229459929973521,0.9640718562874252,0.9598369997133129,0.1883304854353031,0.9219512195121952,0.9198965644685693,0.3537650713106481,0.9488272921108742,0.9551002633840284,0.2563969504350284
8,0.5815071130052526,0.9980496453900709,0.9453222366006018,0.9459481266288474,0.2646035500642076,0.1361209029529957,0.4453862104644167,0.4453862094498695,1.0,4.236077677949946,0.9670658682634731,0.9626011223682206,0.18824435779434479,0.9219512195121952,0.920617091641861,0.3483159600234613,0.9488272921108742,0.9527484957917238,0.25725033237481676
9,0.6036673382241675,0.9966312056737588,0.9515682272819408,0.9515173511731542,0.2792379988471315,0.14139069429737455,0.46227664370486077,0.4622766443389527,1.0,4.450293147310298,0.9700598802395209,0.965955415444095,0.1993008780622197,0.9292682926829269,0.9280166793934119,0.3491766115514244,0.9552238805970149,0.9607325870083155,0.2892365069277505
10,0.5750808453306239,0.9984042553191489,0.9494653257024631,0.9495017868989256,0.24958835403212135,0.13308404141918143,0.4419968044504206,0.44199680381632866,1.0,4.254843621558331,0.9670658682634731,0.9625897103801803,0.17345923649336764,0.9219512195121952,0.9212796770498601,0.32670024080974297,0.9594882729211087,0.9645265896773489,0.24860558479325348
11,0.5842262590185124,0.998758865248227,0.9489376339499125,0.948708335059041,0.2603999659579647,0.13547102041701053,0.44875523638218007,0.44875523815763757,1.0,4.3804934146556445,0.9640718562874252,0.9590244253494224,0.19054027017719016,0.926829268292683,0.926923231843141,0.3351717251103099,0.9552238805970149,0.960865244657174,0.25548790258639403
12,0.5803028473194609,0.99822695035461,0.9503758014235464,0.9506020669670073,0.24948633728065928,0.1325708378819709,0.44773200997646817,0.4477320096594222,1.0,4.408958274760145,0.9700598802395209,0.9658430603470075,0.17422853829617985,0.9243902439024391,0.9227952718846517,0.3273075464295178,0.9573560767590619,0.9624890720389796,0.24692292711628017
13,0.5854163456470408,0.999290780141844,0.9506094506368408,0.9510450833732192,0.26018358682762965,0.13446030531157838,0.4509560389087555,0.45095603897216474,1.0,4.406835499215633,0.9640718562874252,0.958695948967622,0.18594894152201577,0.9317073170731708,0.9305436243453556,0.3312099724281125,0.9573560767590619,0.9625887785975449,0.26339184653276065
14,0.5658269582910741,0.9985815602836879,0.9442935450680571,0.9443221103686849,0.2516088940319658,0.12681056175460206,0.4390163961877214,0.43901639720226854,1.0,4.439942446160824,0.9670658682634731,0.9630808005151682,0.1793469468990486,0.9170731707317074,0.9149603701585888,0.3380251012197355,0.9488272921108742,0.9548394645304146,0.23745463397711325
