epoch,train_loss,train_accuracy,mean_val_macro_f1,mean_val_accuracy,mean_val_loss,classification_loss,perturbed_classification_loss,photo_accuracy,photo_macro_f1,photo_loss,art_painting_accuracy,art_painting_macro_f1,art_painting_loss,cartoon_accuracy,cartoon_macro_f1,cartoon_loss
1,1.0276373113089419,0.6274822695035461,0.86996340654545,0.8778517124573465,0.3565269377328198,1.0276373113089419,1.3063892200906226,0.9221556886227545,0.9069884030451635,0.2053319001626112,0.8414634146341463,0.8279114886285617,0.4976143255466368,0.8699360341151386,0.8749903279626248,0.36663458748921146
2,0.2861119916147374,0.9177304964539007,0.9083832966420108,0.9137692476091034,0.2601416510127163,0.2861119916147374,0.5550101716467675,0.9461077844311377,0.9341322057077852,0.153233017393215,0.8804878048780488,0.871403231851764,0.37982962189651115,0.9147121535181236,0.9196144523664829,0.2473623137484227
3,0.18090591820630622,0.9508865248226951,0.9125121678230069,0.9135015319612997,0.2502902224011531,0.18090591820630622,0.40101862150303863,0.9401197604790419,0.931787007616861,0.16929039091407183,0.8878048780487805,0.8860558975439138,0.32892013293940847,0.9125799573560768,0.919693598308246,0.252660143349979
4,0.1279835061824068,0.9679078014184397,0.9512735172498493,0.9521062508609076,0.170029631044063,0.1279835061824068,0.31810793055498854,0.9730538922155688,0.9670886410215065,0.07341317288176029,0.9195121951219513,0.9186484738547053,0.27503031492233276,0.9637526652452025,0.9680834368733361,0.16164540532809585
5,0.08954489455023344,0.9806737588652482,0.9408478519562703,0.942355353778376,0.14874492101828965,0.08954489455023344,0.2505695415938154,0.9730538922155688,0.9681250872230643,0.06762595626408469,0.9073170731707317,0.903684188608832,0.2436702047906271,0.9466950959488273,0.950734280036915,0.1349386020001572
6,0.061894707125116216,0.9872340425531915,0.9507460223884864,0.9526906559235785,0.16864827785250958,0.061894707125116216,0.20465385400234384,0.9610778443113772,0.9555160024435955,0.0984367742509899,0.9439024390243902,0.9386242911408406,0.23971516969727308,0.9530916844349681,0.9580977735810231,0.1677928896092657
7,0.049674924424393696,0.9909574468085106,0.94517046587232,0.9465565826067975,0.14592905856387264,0.049674924424393696,0.1757466075188936,0.9670658682634731,0.9614084431788423,0.07432497100915737,0.9195121951219513,0.9172263639683395,0.22904053432185476,0.9530916844349681,0.9568765904697781,0.13442167036060584
8,0.03442322163485942,0.9939716312056738,0.940119436343687,0.9400381617543944,0.158381074724849,0.03442322163485942,0.1469327718534685,0.9700598802395209,0.9644622186410456,0.08827378578528673,0.9097560975609756,0.9104153589448895,0.253237410870994,0.9402985074626866,0.9454807314451257,0.1336320275182663
9,0.028307424173591302,0.9953900709219858,0.9502100017337245,0.950485435079189,0.14345106096560525,0.028307424173591302,0.1365165871825624,0.9730538922155688,0.9690671656555175,0.08010432811197407,0.9317073170731708,0.9340378540378541,0.20770054735788485,0.9466950959488273,0.9475249855078017,0.14254830742695693
