epoch,train_loss,train_accuracy,mean_val_macro_f1,mean_val_accuracy,mean_val_loss,classification_loss,mmd_loss,weighted_mmd_loss,photo_accuracy,photo_macro_f1,photo_loss,art_painting_accuracy,art_painting_macro_f1,art_painting_loss,cartoon_accuracy,cartoon_macro_f1,cartoon_loss
1,0.529583133788819,0.8354609929078014,0.8997247672775107,0.8991690133695892,0.28602709616856864,0.47124994688845695,0.5833318499808616,0.05833318499808616,0.9401197604790419,0.9285647513051137,0.17278561263741132,0.8341463414634146,0.8405185483514676,0.48970612432898547,0.9232409381663113,0.9300910021759509,0.19558955153930924
2,0.2646872796593828,0.9280141843971631,0.9238487164664302,0.9284274448658457,0.1867215764319197,0.21256893934741458,0.5211833979221101,0.05211833979221101,0.9580838323353293,0.9486086776759766,0.11342588727345723,0.8975609756097561,0.8899327318324609,0.26193547714047316,0.929637526652452,0.9330047398908531,0.18480336488182866
3,0.182429061576407,0.9563829787234043,0.9404166702223827,0.94196580576431,0.18622755441528369,0.1324602753696765,0.49968785605532057,0.04996878560553206,0.9700598802395209,0.9657626208378087,0.08769121944547413,0.9048780487804878,0.900886537391337,0.2847712086468208,0.9509594882729211,0.9546008524380027,0.18622023515355612
4,0.15189965449749154,0.9684397163120567,0.9449479747661305,0.9454711981206861,0.14662470088659754,0.10219944933617607,0.49700204374942375,0.049700204374942374,0.9790419161676647,0.9745930760968354,0.04780659271392994,0.9170731707317074,0.91227296983414,0.24250664311211284,0.9402985074626866,0.9479778783674159,0.14956086683374986
5,0.11523329864474054,0.9797872340425532,0.932057623408563,0.9353888821244608,0.20420255479625626,0.06616006356446033,0.49073234416068867,0.049073234416068874,0.9491017964071856,0.9393856582594069,0.11827037559297984,0.9146341463414634,0.9111039365863605,0.3258697833956742,0.9424307036247335,0.9456832753799219,0.16846750540011474
6,0.10541080044622117,0.9833333333333333,0.9414968678444223,0.9412941862906877,0.17469383898626512,0.057759374460859346,0.47651425067414627,0.04765142506741463,0.9640718562874252,0.9576820502625816,0.1165858155596042,0.9195121951219513,0.9192079230147635,0.23863814167860078,0.9402985074626866,0.9476006302559219,0.1688575597205904
7,0.08151528760790824,0.9921985815602837,0.9476227771359985,0.9496040629749913,0.13846560803643185,0.034140499904157316,0.4737478682335387,0.04737478682335387,0.9670658682634731,0.9611166756477029,0.09065079849637198,0.9243902439024391,0.9216617261387491,0.19078949922468605,0.9573560767590619,0.9600899296215433,0.13395652638823746
8,0.07335977177036569,0.9941489361702127,0.9506876268666963,0.9523108030130389,0.1311179356928736,0.02662341948004162,0.46736351099420104,0.0467363510994201,0.9730538922155688,0.9675302478779405,0.06403788879602969,0.9243902439024391,0.9243068258070767,0.20914115091649496,0.9594882729211087,0.9602258069150719,0.12017476736609616
9,0.08795085509723806,0.9895390070921986,0.9511063244844401,0.952009175263286,0.15828252145098162,0.039523260296381854,0.48427594139220864,0.04842759413922087,0.9730538922155688,0.9680658490092805,0.0987421162649543,0.9341463414634147,0.9340256384537865,0.23443680303852732,0.9488272921108742,0.9512274859902536,0.1416686450494632
10,0.10307206192866285,0.9826241134751773,0.8898154081518626,0.896082586504146,0.38233091189338086,0.05661177613940883,0.4646028475558504,0.04646028475558504,0.9131736526946108,0.8975572375412965,0.3490743762952928,0.8560975609756097,0.8522099185176516,0.5025857628845587,0.9189765458422174,0.9196790683966396,0.295332596500291
11,0.11268580284841517,0.9801418439716312,0.9402907765304862,0.9409821575840467,0.196581406917575,0.06447363348722339,0.4821216829279636,0.04821216829279636,0.9640718562874252,0.9578454747125722,0.09243411548480303,0.8951219512195122,0.8951818373416115,0.3652134293463172,0.9637526652452025,0.967845017537275,0.13209667592160484
12,0.07673819808566824,0.9921985815602837,0.9180326897402069,0.9172107706164456,0.28228187743846517,0.02972485341745964,0.47013343597980256,0.047013343597980255,0.9640718562874252,0.9565535600222681,0.11000807806403337,0.8536585365853658,0.8554485113103177,0.5000452887721178,0.9339019189765458,0.9420959978880349,0.2367922654792444
13,0.062443073672500064,0.9976950354609929,0.94979200255458,0.950261326636861,0.1369959902118668,0.015465049740878192,0.46978023381943396,0.0469780233819434,0.9760479041916168,0.9717924077567485,0.065553182970264,0.9195121951219513,0.9187312274562044,0.2267381133102789,0.9552238805970149,0.9588523724507868,0.11869667435505751
14,0.05317720835037688,1.0,0.9514189853646755,0.9527199073173015,0.12918208377028914,0.008223363724933501,0.4495384398292988,0.04495384398292988,0.9730538922155688,0.9686676312999557,0.06981516045010733,0.9341463414634147,0.9319988200712489,0.2036391266962377,0.9509594882729211,0.953590504722822,0.11409196416452241
15,0.0665466724478818,0.9941489361702127,0.9171487166667225,0.9177124558932476,0.30510878399088565,0.019981921189266474,0.46564750227522345,0.04656475022752234,0.9491017964071856,0.9431119155644073,0.22121853064634128,0.8829268292682927,0.8839611511579273,0.43268148840927495,0.9211087420042644,0.9243730832778326,0.2614263329170406
16,0.09949374918607955,0.9836879432624114,0.941531742115294,0.9402570697182785,0.2157634756981021,0.05159463944394102,0.478991092456148,0.04789910924561481,0.9670658682634731,0.9632451088673685,0.13301504586271184,0.9048780487804878,0.9073114242740282,0.3352636875902734,0.9488272921108742,0.9540386932044853,0.179011693641321
17,0.09498570586772676,0.9859929078014185,0.9434574020061804,0.9460452022264692,0.17248046447819462,0.04896710740248772,0.4601859800359036,0.04601859800359036,0.9670658682634731,0.9624248485232266,0.1017392684153454,0.9073170731707317,0.9021528657604355,0.2881452723247249,0.9637526652452025,0.9657944917348793,0.12755685269451345
18,0.06403159834444523,0.9968085106382979,0.9466437312822163,0.9467415784687322,0.16614409213759138,0.017743962686112585,0.4628763492437119,0.04628763492437119,0.9700598802395209,0.9647946405496255,0.10428681844722724,0.9170731707317074,0.9187977899431056,0.24095108131083046,0.9530916844349681,0.9563387633539181,0.15319437665471644
19,0.060637776664596924,0.9973404255319149,0.9399938971632759,0.9370245934881498,0.20290836782397792,0.015233553257433976,0.4540422279149928,0.045404222791499284,0.9640718562874252,0.9625443204186086,0.11673834866392398,0.9024390243902439,0.9077488879012873,0.335764072290281,0.9445628997867804,0.9496884831699317,0.15622268251772883
