epoch,train_loss,train_accuracy,mean_val_macro_f1,mean_val_accuracy,mean_val_loss,classification_loss,domain_loss,domain_accuracy,mean_grl_strength,last_grl_strength,mean_alignment_ramp,mean_gradient_norm_before_clip,photo_accuracy,photo_macro_f1,photo_loss,art_painting_accuracy,art_painting_macro_f1,art_painting_loss,cartoon_accuracy,cartoon_macro_f1,cartoon_loss
1,0.5215274176064958,0.9957446808510638,0.9446747558681797,0.9466836154515037,0.19595221603054425,0.014996633305100716,0.506530783658332,0.7589539007092199,0.0016466173705436697,0.004879364204736821,0.10042553191489359,6.328830795085176,0.9640718562874252,0.9572245749328402,0.10698240024768217,0.9463414634146341,0.9429745034446605,0.2475446680696999,0.929637526652452,0.9338251892270387,0.23332957977425062
2,0.42032737554387845,0.9980496453900709,0.949317067486476,0.9488594188190264,0.21927255960031541,0.005186211158520758,0.41514116531990947,0.8093085106382979,0.011068168080059964,0.01845454727709159,0.3004255319148936,5.247442000977537,0.9730538922155688,0.9693893099117447,0.1313194778864969,0.926829268292683,0.9275895516155013,0.2218023633811532,0.9466950959488273,0.9509723409321824,0.30469583753329604
3,8.848869831257678,0.9966312056737588,0.9364009273106354,0.9361633174443665,0.2811962154217161,0.011343573765990994,8.83752626713286,0.2201241134751773,0.02792858821069823,0.03807654370167245,0.5004255319148936,135.4211603448746,0.9730538922155688,0.9682698023758142,0.1124183887968357,0.9121951219512195,0.9101009436488863,0.40736974957512645,0.9232409381663113,0.9308320359072056,0.32380050789318615
4,18.036748851613794,0.9801418439716312,0.9036996879086979,0.9052892706448356,1.3901594478324266,0.12315946159281246,17.91358938622982,0.38608156028368795,0.049372369010189134,0.06089891384697441,0.7004255319148935,226.90181324735602,0.9550898203592815,0.948106634558129,0.6290643641973175,0.8780487804878049,0.8752210561896394,1.7259129594012004,0.8827292110874201,0.8877713729783251,1.8155010198987622
5,41.586249351501465,0.9374113475177305,0.9156025228395145,0.9199130160294109,1.9233971785786803,1.1007984235504416,40.48545092724739,0.46161347517730494,0.07287569665931502,0.08480597055300908,0.9004255319148936,1026.477576982214,0.9550898203592815,0.9496319900327509,1.318576342822192,0.8878048780487805,0.8810543838494149,2.0206269706167825,0.9168443496801706,0.9161211946363775,2.4309882222970667
6,135.1712025338031,0.8824468085106383,0.7752611176463672,0.7842464636487078,14.276766020771761,5.263198008796796,129.908004476669,0.5195035460992907,0.08787355783988339,0.09050135654529264,1.0,4611.4298061939,0.8802395209580839,0.8567683107247996,4.518112525254667,0.7390243902439024,0.7340685853324519,15.40417391149009,0.7334754797441365,0.7349464568818501,22.90801162557053
7,359.4276513931599,0.8271276595744681,0.759990424175674,0.7722070861656997,21.107087510002938,13.547381223724416,345.8802706454663,0.4273936170212766,0.09246249952653209,0.09412967706233984,1.0,13018.387895819482,0.8712574850299402,0.8515510938107502,9.280322503186985,0.7097560975609756,0.7027466560060756,21.648675016077554,0.7356076759061834,0.7256735227101964,32.39226501074427
8,461.5115339563248,0.798049645390071,0.7909234935133692,0.7949126449373862,21.246399086199258,21.412198494918012,440.0993359504862,0.41436170212765955,0.09535858028303931,0.09639824464354751,1.0,22025.355734707446,0.8802395209580839,0.8639857646954037,8.630238679354775,0.7560975609756098,0.7555404778619497,19.17794353205983,0.7484008528784648,0.7532442379827545,35.931015047183166
9,216.47098971427755,0.849822695035461,0.8402162159259586,0.8396806885474981,11.802511666403182,13.954202148579698,202.5167878495886,0.4933510638297872,0.09715866837935086,0.09780006631603633,1.0,16900.508870096408,0.9191616766467066,0.9043998200221861,3.5267801570321273,0.802439024390244,0.8050130954718322,12.345465460056213,0.7974413646055437,0.8112357322838576,19.535289382121203
10,30.326375693463266,0.9264184397163121,0.9111776506510552,0.9129223273770727,2.4799766941835393,3.6512613116210884,26.67511446425255,0.6098404255319149,0.09826694293512805,0.09866001429109877,1.0,4305.632448626579,0.9520958083832335,0.9447021630579873,1.125509475935376,0.8804878048780488,0.8828421282762172,2.824456619634861,0.906183368869936,0.9059886606189613,3.4899639869803813
