model,clean_accuracy,shuffled_accuracy,accuracy_drop_pp,prediction_consistency,macro_f1,mean_max_confidence
ResNet-50 + linear head,0.9760000109672546,0.8740000128746033,10.199999809265137,0.8980000019073486,0.8750480230818847,0.871091902256012
ViT-B/16 + linear head,0.9739999771118164,0.906000018119812,6.7999958992004395,0.9179999828338623,0.9064037733542143,0.8844248652458191
CLIP ViT-B/32 + linear head,0.972000002861023,0.7919999957084656,18.000000715255737,0.7900000214576721,0.7949054124093895,0.12336656451225281
CLIP ViT-B/32 zero-shot,0.9679999947547913,0.7739999890327454,19.40000057220459,0.7720000147819519,0.7777333761600022,0.7842064499855042
