model,condition,accuracy_pct,macro_f1_pct,confidence_pct,change_pp,consistency_pct
ResNet-50 head,Clean,97.6,97.60555313263286,89.78430032730103,0.0,100.0
ResNet-50 head,Grayscale,95.8,95.7834348281906,90.34977555274965,-1.8000000000000016,96.60000205039978
ResNet-50 head,Hue +0.25,92.80000000000001,92.77713195943348,88.74335885047913,-4.799999999999994,93.99999976158142
ResNet-50 head,Patch shuffle,87.40000128746033,87.50480230818847,87.1091902256012,-10.19999871253967,89.80000019073486
ViT-B/16 head,Clean,97.39999999999999,97.389475226034,95.89813947677612,0.0,100.0
ViT-B/16 head,Grayscale,95.39999999999999,95.39238159118548,95.31578421592712,-2.0000000000000018,94.9999988079071
ViT-B/16 head,Hue +0.25,95.0,95.00052230025324,92.69714951515198,-2.400000000000002,94.80000138282776
ViT-B/16 head,Patch shuffle,90.6000018119812,90.64037733542143,88.44248652458191,-6.7999981880187965,91.79999828338624
CLIP head,Clean,97.2,97.193023699624,14.19729739427566,0.0,100.0
CLIP head,Grayscale,95.6,95.5641581993455,13.782630860805508,-1.6000000000000014,94.80000138282776
CLIP head,Hue +0.25,94.6,94.54788172890032,13.54332417249679,-2.6000000000000023,93.99999976158142
CLIP head,Patch shuffle,79.19999957084656,79.49054124093895,12.336656451225279,-18.000000429153438,79.00000214576721
CLIP zero-shot,Clean,96.8,96.7524079946368,94.2698299884796,0.0,100.0
CLIP zero-shot,Grayscale,94.39999999999999,94.31167904260188,92.69389510154724,-2.400000000000002,95.39999961853029
CLIP zero-shot,Hue +0.25,92.60000000000001,92.44595257076269,91.91871285438538,-4.199999999999992,93.19999814033508
CLIP zero-shot,Patch shuffle,77.39999890327454,77.77333761600022,78.42064499855042,-19.40000109672546,77.20000147819519
