model,condition,accuracy_pct,macro_f1_pct,confidence_pct,change_pp,consistency_pct
CLIP zero-shot,Clean,96.8,96.7524079946368,94.2698299884796,0.0,100.0
CLIP zero-shot,Grayscale,94.39999999999999,94.31167904260188,92.69389510154724,-2.400000000000002,95.39999961853029
CLIP zero-shot,Hue +0.25,92.60000000000001,92.44595257076269,91.91871285438538,-4.199999999999992,93.19999814033508
CLIP zero-shot,Patch shuffle,77.39999890327454,77.77333761600022,78.42064499855042,-19.40000109672546,77.20000147819519
