model,score,delta_csa,delta_auroc_near,delta_auroc_far,delta_auroc_all,delta_rejection_near,delta_rejection_far
vanilla,mls,0.0,0.0,0.0,0.0,0.0,0.0
gcsc,mls,0.0014999999999999458,0.02912268749999991,0.013879187500000278,0.02150093750000015,0.05249999999999999,0.03500000000000003
proser,mls,-0.005800000000000027,0.001239499999999838,-0.028242125000000007,-0.013501312499999862,-0.023749999999999993,-0.10499999999999998
proser,placeholder,-0.005800000000000027,-0.04666868750000008,-0.05445687499999985,-0.05056278125000002,-0.05249999999999999,-0.14375
