epoch,train_loss,train_accuracy,mean_val_macro_f1,mean_val_accuracy,mean_val_loss,classification_loss,mmd_loss,weighted_mmd_loss,photo_accuracy,photo_macro_f1,photo_loss,art_painting_accuracy,art_painting_macro_f1,art_painting_loss,cartoon_accuracy,cartoon_macro_f1,cartoon_loss
1,0.5200685036626268,0.8345744680851064,0.9032879591468331,0.9072944339621759,0.2624310879154101,0.4854294949151734,0.3463900647264846,0.034639006472648455,0.9580838323353293,0.9476728738633501,0.15410672583265933,0.8512195121951219,0.8503906208791522,0.40778992001603287,0.9125799573560768,0.911800382697997,0.22539661789753798
2,0.22207927695931273,0.9320921985815603,0.9260802143147678,0.925934952083456,0.2152930172457863,0.19742740596287903,0.2465187113335792,0.024651871133357924,0.9670658682634731,0.9612240034329742,0.09940899417785827,0.8853658536585366,0.8853317600789277,0.3123255630818809,0.9253731343283582,0.9316848794324013,0.23414449447761976
3,0.16820388842928916,0.950709219858156,0.9267158516397428,0.9277362691020268,0.19083454857958496,0.14561565967990045,0.22588228266289895,0.022588228266289895,0.9550898203592815,0.9462783893556523,0.09349013713305582,0.9048780487804878,0.9041671665941242,0.2587057334620778,0.9232409381663113,0.9297019989694519,0.22030777514362132
4,0.11935267965210244,0.9666666666666667,0.9224780859813283,0.924707639170668,0.23104187882106283,0.0974400734410007,0.21912605508844904,0.021912605508844905,0.9670658682634731,0.9594078336245146,0.10344922689799063,0.8560975609756097,0.852158151826974,0.443455214616729,0.9509594882729211,0.9558682724924964,0.14622119494846889
5,0.12003523634469256,0.9652482269503546,0.9218829864366386,0.9267578214002076,0.22415591856090125,0.09838302784965948,0.21652208287665184,0.021652208287665186,0.9491017964071856,0.9392866098947108,0.1324004265005717,0.9121951219512195,0.904995562185246,0.2796473016099232,0.9189765458422174,0.9213667872299587,0.2604200275722089
6,0.08453794644075505,0.9799645390070922,0.9303072521891028,0.9337921172580211,0.24284730346622438,0.0635217937824138,0.21016152463060744,0.021016152463060746,0.9610778443113772,0.9547311635457455,0.13757613140665842,0.9,0.8949910355110132,0.3521192115981404,0.9402985074626866,0.9411995575105495,0.2388465673938743
7,0.07132979216490021,0.9833333333333333,0.9365447935353507,0.9383001743146396,0.17917138222121345,0.05109578556296951,0.2023400621211275,0.020234006212112753,0.9550898203592815,0.9469846859171376,0.12484804598871105,0.9195121951219513,0.9193800141562071,0.26535279663597666,0.9402985074626866,0.9432696805327073,0.14731330403895265
8,0.06583266761153936,0.9838652482269503,0.9458963470767824,0.9448966542446855,0.16563044591049783,0.04596351410579333,0.19869153043057056,0.019869153043057055,0.9730538922155688,0.967631503279267,0.07366875554630142,0.9170731707317074,0.9180976796023871,0.28719385266304015,0.9445628997867804,0.9519598583486933,0.13602872952215198
9,0.05468536721978416,0.9886524822695035,0.9396709665180675,0.9400381617543944,0.17802381691454752,0.035210272553996086,0.19475094206789706,0.01947509420678971,0.9700598802395209,0.9640427507035204,0.10503374446116522,0.9097560975609756,0.90961042603427,0.2639489546054747,0.9402985074626866,0.9453597228164122,0.16508875167700274
10,0.06039218570878531,0.9872340425531915,0.9328202656470292,0.9318547781445794,0.22925314367863392,0.0414310794681598,0.18961106158317403,0.018961106158317403,0.9461077844311377,0.9379418216806152,0.18656198225335446,0.9219512195121952,0.9240539492773715,0.23454789552019864,0.9275053304904051,0.9364650259831013,0.2666495532623486
11,0.07580747554435376,0.9819148936170212,0.9253313623631345,0.9254673449917473,0.243077398284584,0.05674011158519127,0.19067363941923102,0.019067363941923102,0.9431137724550899,0.9376926728196996,0.16894477284597065,0.8951219512195122,0.8960029074229515,0.3362171836015655,0.9381663113006397,0.9422985068467523,0.2240702384062159
12,0.03528057242089764,0.9948581560283688,0.9561290037186572,0.9553778396714293,0.15465440132161482,0.017042708058811803,0.182378640073411,0.018237864007341103,0.9700598802395209,0.9659460884441776,0.093660954408303,0.9365853658536586,0.9381987171703398,0.22437560703696274,0.9594882729211087,0.9642422055414543,0.14592664251957876
13,0.02251809668192204,0.999290780141844,0.9409036197913633,0.9412016053181484,0.1766277830417284,0.005259743811218365,0.172583525231544,0.017258352523154403,0.9790419161676647,0.974220042032801,0.06301200541550528,0.9,0.8990478483878475,0.3212967465563518,0.9445628997867804,0.9494429689534416,0.14557459715332813
14,0.03786678587661144,0.9946808510638298,0.922300234978206,0.9227168316650799,0.2258257213184454,0.020166107633230377,0.17700677831122216,0.017700677831122218,0.9610778443113772,0.9541661414855266,0.09797255503024883,0.8731707317073171,0.8701007731602919,0.40298080298958755,0.9339019189765458,0.9426337902887997,0.17652380593549977
15,0.09988116755923059,0.974290780141844,0.8976338842091026,0.9010679457559996,0.3362317142983701,0.08007618973162917,0.19804977356119358,0.019804977356119358,0.9461077844311377,0.9365924107197027,0.17367329200852416,0.848780487804878,0.84777358313573,0.5134969746194235,0.908315565031983,0.908535658771875,0.3215248762671627
16,0.06880523522800587,0.9838652482269503,0.9190899184116509,0.9226536681694076,0.236793481984225,0.04917455110587477,0.19630683736598237,0.019630683736598237,0.9550898203592815,0.9492320965671441,0.14893093526720286,0.8853658536585366,0.8779965941379622,0.3773300372972721,0.9275053304904051,0.9300410645298467,0.18411947338820012
17,0.048880695714119904,0.9907801418439717,0.9353945922616096,0.9357054054561842,0.2533382404373703,0.0304380726749127,0.18442622854354535,0.018442622854354534,0.9640718562874252,0.959042770921708,0.15395804293855223,0.9048780487804878,0.9064823519289862,0.3912366970283229,0.9381663113006397,0.9406586539341347,0.21481998134523567
