model,condition,top1_accuracy,macro_f1,mean_max_confidence,clean_accuracy,accuracy_change_pp,prediction_consistency
ResNet-50 + linear head,grayscale,0.958,0.957834348281906,0.9034977555274963,0.9760000109672546,-1.8000010967254676,0.9660000205039978
ResNet-50 + linear head,hue_rotation,0.928,0.9277713195943347,0.8874335885047913,0.9760000109672546,-4.80000109672546,0.9399999976158142
ViT-B/16 + linear head,grayscale,0.954,0.9539238159118547,0.9531578421592712,0.9739999771118164,-1.9999977111816447,0.949999988079071
ViT-B/16 + linear head,hue_rotation,0.95,0.9500052230025325,0.9269714951515198,0.9739999771118164,-2.399997711181645,0.9480000138282776
CLIP ViT-B/32 + linear head,grayscale,0.956,0.955641581993455,0.13782630860805511,0.972000002861023,-1.6000002861022988,0.9480000138282776
CLIP ViT-B/32 zero-shot,grayscale,0.944,0.9431167904260189,0.9269389510154724,0.9679999947547913,-2.399999475479131,0.9539999961853027
CLIP ViT-B/32 + linear head,hue_rotation,0.946,0.9454788172890032,0.13543324172496796,0.972000002861023,-2.6000002861022997,0.9399999976158142
CLIP ViT-B/32 zero-shot,hue_rotation,0.926,0.9244595257076267,0.9191871285438538,0.9679999947547913,-4.199999475479121,0.9319999814033508
