method,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,worst_source_accuracy,worst_source_macro_f1,source_domain_separability,probe_train_count,probe_test_count,probe_per_domain,sharpness,sharpness_clean_loss,sharpness_perturbed_loss,sharpness_gradient_norm
ERM,0.9670658682634731,0.9597617474516996,0.9,0.9000523742360992,0.9488272921108742,0.9524186150028467,0.9386310534581158,0.9374109122302152,0.9,0.9000523742360992,0.8637873754152824,701,301,334,0.2333454191684723,0.23476040363311768,0.46810582280158997,4.272191047668457
DAN-DG,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208,0.5448504983388704,701,301,334,0.015243768692016602,1.932010531425476,1.9472543001174927,1.5058324337005615
SAM,0.9730538922155688,0.9670886410215065,0.9195121951219513,0.9186484738547053,0.9637526652452025,0.9680834368733361,0.9521062508609076,0.9512735172498493,0.9195121951219513,0.9186484738547053,0.840531561461794,701,301,334,0.1202084869146347,0.17740033566951752,0.2976088225841522,1.961614966392517
DAN-DG lambda=0.1,0.9730538922155688,0.9686676312999557,0.9341463414634147,0.9319988200712489,0.9509594882729211,0.953590504722822,0.9527199073173015,0.9514189853646755,0.9341463414634147,0.9319988200712489,0.7109634551495017,701,301,334,0.1760052591562271,0.1731407195329666,0.3491459786891937,3.1458983421325684
DAN-DG lambda=10,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.17270788912579957,0.04207792207792208,0.6710963455149501,701,301,334,0.01917743682861328,1.9274816513061523,1.9466590881347656,1.2832839488983154
