epoch,train_loss,train_accuracy,mean_val_macro_f1,mean_val_accuracy,mean_val_loss,classification_loss,mmd_loss,weighted_mmd_loss,mean_alignment_ramp,mean_gradient_norm_before_clip,photo_accuracy,photo_macro_f1,photo_loss,art_painting_accuracy,art_painting_macro_f1,art_painting_loss,cartoon_accuracy,cartoon_macro_f1,cartoon_loss
1,0.41972751538566455,0.9904255319148936,0.9327533258520728,0.9351940250758558,0.1802916667054281,0.03188343234101689,0.453142496372791,0.3878440827170902,0.10042553191489359,5.312219005759726,0.9640718562874252,0.9575583589279342,0.08981104270962184,0.8926829268292683,0.8904795251433907,0.2951191288668935,0.9488272921108742,0.9502220934848936,0.15594482853976901
2,0.8431584954261779,0.9868794326241135,0.928795901598176,0.931148540715646,0.23345125677956746,0.06250298052476323,0.2643188420762407,0.7806555140525737,0.3004255319148936,9.400447275283488,0.9610778443113772,0.9541700830348272,0.1322366063466329,0.8878048780487805,0.8865351795103391,0.38181635810107717,0.9445628997867804,0.9456824422493618,0.18630080589099224
3,1.2127160435027264,0.975177304964539,0.9182511549633582,0.9200100916270325,0.3158652066129032,0.15277044643905568,0.2127453215578769,1.059945593996251,0.5004255319148936,14.88623808394087,0.9550898203592815,0.9478613701289201,0.21002420051369125,0.8731707317073171,0.8720671786397641,0.486020451057248,0.9317697228144989,0.9348249161213903,0.25155096826777024
4,1.6302117636863223,0.9650709219858156,0.9091130188444995,0.9097478141641725,0.4079571338479239,0.24840562968177998,0.1980729209615829,1.3818061288366927,0.7004255319148935,20.764185211506295,0.9550898203592815,0.9477025664797852,0.29825566771501555,0.848780487804878,0.8488939297369426,0.6024706259006407,0.9253731343283582,0.9307425603167708,0.3231451079281154
5,2.109231904719738,0.9407801418439716,0.883398621224531,0.8858788118287322,0.5394256213988474,0.3893514889034819,0.1910975309128457,1.7198804145163678,0.9004255319148936,28.944580414954654,0.937125748502994,0.9275969507798095,0.42689492174251353,0.8121951219512196,0.81179996025345,0.7512213009159739,0.908315565031983,0.9107989526403336,0.44016064153805473
6,2.389615202457347,0.9273049645390071,0.85915409846952,0.861878282023503,0.6608622938376044,0.533242186079634,0.18563730158704392,1.8563730153631657,1.0,35.037948275626974,0.907185628742515,0.8972076313354205,0.5455981799942291,0.7829268292682927,0.7836663274848027,0.8864179471643959,0.8955223880597015,0.8965883365883366,0.5505707543541882
7,2.498097903677758,0.9024822695035462,0.8292478543562746,0.8313397750756742,0.8137786133387341,0.6728134724688023,0.18252844303212268,1.8252844318430475,1.0,36.39551950819949,0.8832335329341318,0.8724347974788051,0.7048301782436713,0.7365853658536585,0.7370269405691291,1.0370079366172231,0.8742004264392325,0.8782818250208894,0.6994977251553078
8,2.6033232861376825,0.874290780141844,0.8020886987267333,0.8026853049322854,0.9546310758737095,0.8202386767306227,0.1783084605602508,1.7830846050952343,1.0,39.638022175241026,0.8502994011976048,0.8427059223874958,0.8574982774471809,0.7048780487804878,0.7056171353950363,1.1705844088298518,0.8528784648187633,0.8579430383976678,0.8358105413440956
9,2.7706837907750557,0.8414893617021276,0.7831518985959081,0.7864206477055768,1.054446669866597,0.9567863185355003,0.1813897467674093,1.813897467674093,1.0,42.44769130463296,0.8353293413173652,0.8241679815057864,0.9571107904354256,0.6902439024390243,0.6873656214199914,1.2562754607782132,0.8336886993603412,0.8379220928619466,0.9499537583861524
10,2.8507183024223814,0.8053191489361702,0.7420538143410956,0.749193079855163,1.197199922046705,1.0880736670595534,0.176264462572463,1.7626446313046396,1.0,43.90509056740619,0.8083832335329342,0.794633639653255,1.110871997422087,0.6268292682926829,0.6165994984363458,1.3845410230683117,0.8123667377398721,0.8149283049336861,1.096186745649716
11,3.026631064110614,0.7608156028368794,0.6761084918246348,0.6964702557026463,1.350303094944054,1.2400781410805723,0.17865529314000556,1.7865529258200463,1.0,50.41326091441702,0.7574850299401198,0.7333805390416268,1.273887734213275,0.5707317073170731,0.5388939956163304,1.520648537612543,0.7611940298507462,0.756050940815947,1.2563730130063446
12,3.190505514753626,0.6934397163120567,0.5829817965306378,0.6255793473119288,1.528617138634311,1.4102873994949017,0.17802181193169128,1.7802181137369033,1.0,50.82176890271775,0.6706586826347305,0.6117362948145885,1.467341554379035,0.5195121951219512,0.4615478679711146,1.6720735224281869,0.6865671641791045,0.6756612268062104,1.4464363390957113
13,3.4188924830010596,0.6039007092198582,0.45963359279075,0.5277477392191537,1.704912653897144,1.6057092798517105,0.18131832112657262,1.8131832016275284,1.0,55.373138476432636,0.5868263473053892,0.4959360989825698,1.6656254351495983,0.4121951219512195,0.3133328946346296,1.8073528289794922,0.5842217484008528,0.5696317847550506,1.6417596975623419
