epoch,train_loss,train_accuracy,mean_val_macro_f1,mean_val_accuracy,mean_val_loss,classification_loss,domain_loss,domain_accuracy,mean_grl_strength,last_grl_strength,mean_alignment_ramp,mean_gradient_norm_before_clip,photo_accuracy,photo_macro_f1,photo_loss,art_painting_accuracy,art_painting_macro_f1,art_painting_loss,cartoon_accuracy,cartoon_macro_f1,cartoon_loss
1,0.39850749259299423,0.9957446808510638,0.9466746799064283,0.9483923514975353,0.19659524719539864,0.014348634686645342,0.3841588579593821,0.8441489361702128,0.0016466173705436697,0.004879364204736821,0.10042553191489359,4.641256738216319,0.9670658682634731,0.9608077269674836,0.10878857421482395,0.9463414634146341,0.943446531846509,0.24440390896506425,0.9317697228144989,0.9357697809052922,0.23659325840630765
2,0.20040591863241602,0.9980496453900709,0.9496054211824777,0.9499108912031883,0.21630707820881936,0.005275779772081807,0.19513013905033152,0.9422872340425532,0.011068168080059964,0.01845454727709159,0.3004255319148936,3.435384488105774,0.9670658682634731,0.9629647318817512,0.13039803135482048,0.9317073170731708,0.9307578825625565,0.21661808672474653,0.9509594882729211,0.955093649103125,0.3019051165468911
3,0.292334650013041,0.999113475177305,0.9592940795062347,0.958863675737609,0.1676590975042613,0.0035828106658468495,0.28875183919642833,0.8858156028368794,0.02792858821069823,0.03807654370167245,0.5004255319148936,4.25209669153741,0.9820359281437125,0.9795268187715603,0.091141719860443,0.9414634146341463,0.9413831065235667,0.20861767087040878,0.9530916844349681,0.9569723132235769,0.20321790178193214
4,0.5163674145302874,0.999822695035461,0.9508456090647043,0.950874983093255,0.22058355099608176,0.002225377521173815,0.5141420371988986,0.7390070921985815,0.049372369010189134,0.06089891384697441,0.7004255319148935,6.321274664046917,0.9760479041916168,0.9722365958326139,0.09378208414495304,0.9341463414634147,0.9336011930364853,0.3116503687893472,0.9424307036247335,0.9466990383250137,0.256318200053945
5,0.6429767611178946,0.9950354609929078,0.9441114880906759,0.9426329306128499,0.2754410095647822,0.013687687324881773,0.6292890740201829,0.6658687943262411,0.07287569665931502,0.08480597055300908,0.9004255319148936,9.65372837553633,0.9610778443113772,0.95772622571803,0.17484436672397688,0.9243902439024391,0.9269101778168619,0.3111360719291175,0.9424307036247335,0.9476980607371359,0.3403425900412521
6,0.5938945360640262,0.9973404255319149,0.9562295404824449,0.9572911278695923,0.24182394005781158,0.00864179577568159,0.5852527392671464,0.6908687943262412,0.08787355783988339,0.09050135654529264,1.0,10.165794076310828,0.9730538922155688,0.9685257952796098,0.1480459351248596,0.9414634146341463,0.940024929642412,0.3141333467168052,0.9573560767590619,0.9601378965253126,0.2632925383317699
7,0.6197835876586589,0.9955673758865248,0.9450159214151288,0.9478418585368137,0.32022083250682226,0.01222003125003974,0.607563557776999,0.6789007092198581,0.09246249952653209,0.09412967706233984,1.0,12.509397752234277,0.9730538922155688,0.9674746576642911,0.2004130639604287,0.9195121951219513,0.9192297416523878,0.43965261355837487,0.9509594882729211,0.9483433649287074,0.3205968200016632
8,0.605025892688873,0.9968085106382979,0.9546477068818536,0.9554657599357425,0.26627463971758997,0.01102094099273927,0.5940049517661967,0.6732269503546099,0.09535858028303931,0.09639824464354751,1.0,11.647950166337033,0.9730538922155688,0.9695322183879865,0.16883622923263622,0.948780487804878,0.9471025290757286,0.29341654704838266,0.9445628997867804,0.9473083731818461,0.33657114287175094
9,0.6007838540888847,0.9976950354609929,0.9510346484811173,0.9527394636074981,0.2676739293754006,0.008538153193727903,0.5922457031747128,0.6793439716312056,0.09715866837935086,0.09780006631603633,1.0,10.276799922293804,0.9700598802395209,0.9658838572236433,0.19206461742808364,0.9414634146341463,0.9380964859484993,0.2868092335578872,0.9466950959488273,0.9491236022712093,0.32414793714023094
10,0.6115221401478382,0.9985815602836879,0.9543509086732297,0.9553439275694801,0.28008637460702723,0.005680396403861919,0.6058417454678962,0.6690602836879432,0.09826694293512805,0.09866001429109877,1.0,9.883329359013983,0.9760479041916168,0.9720739890197468,0.17000928637569726,0.9390243902439024,0.9370553921964957,0.3285934199647206,0.9509594882729211,0.9539233448034462,0.34165641748066394
11,0.6313782230336615,0.9975177304964539,0.94721524636778,0.9472138462686672,0.29339402717300384,0.007035213936882662,0.6243430097052391,0.6578014184397163,0.09894528933769867,0.09918519570693635,1.0,9.904368739432478,0.9760479041916168,0.9713288322778008,0.1546331402757843,0.9146341463414634,0.9137476858530797,0.4205207222845496,0.9509594882729211,0.9565692209724597,0.30502821895867777
12,0.6362549090639074,0.997872340425532,0.9515045810249328,0.9518046231111547,0.24378078978811998,0.005877436817967277,0.630377470812899,0.673581560283688,0.09935899604608031,0.09950505527006566,1.0,8.889713200102461,0.9730538922155688,0.9694499565854028,0.15286304601391465,0.9292682926829269,0.9269674535675216,0.293025661677849,0.9530916844349681,0.9580963329218738,0.2854536616725962
13,0.6355954886750972,0.9975177304964539,0.9503181713337675,0.9513811629951393,0.21811653034544695,0.0057820294997702965,0.6298134608471647,0.6715425531914894,0.09961075172617712,0.09969954017351312,1.0,8.185733091070297,0.9760479041916168,0.9720290421397244,0.12657782957961639,0.9292682926829269,0.9264700038671874,0.3078870750781966,0.9488272921108742,0.9524554679943907,0.21988468637852782
14,0.6323091049143609,0.999822695035461,0.9534010656037295,0.9543263672872676,0.21287826252176656,0.001545925533068936,0.630763179063797,0.6701241134751773,0.09976374941677127,0.09981767350090238,1.0,7.136382766480142,0.9760479041916168,0.9711791007241348,0.11988946876605738,0.9317073170731708,0.930773140391897,0.29832187760167006,0.9552238805970149,0.9582509556951567,0.22042344119757223
